trade_date,nav,daily_return
2020-02-14,2999777.644445195,
2020-02-17,3099224.0444451943,0.033151257122056466
2020-02-18,3113726.644445195,0.004679429364260912
2020-02-19,3045357.2444451945,-0.021957418812588947
2020-02-20,5146127.275569705,0.6898271245373153
2020-02-21,5010060.075569705,-0.026440698551307595
2020-02-24,958107.4609590507,-0.8087632789812201
2020-02-25,2895973.110797158,2.022597389961178
2020-02-26,925375.3771345966,-0.6804613365764733
2020-02-27,929338.0771345965,0.004282262201821707
2020-02-28,878263.2771345966,-0.05495825604980864
2020-03-02,2711929.617036944,2.0878321884126008
2020-03-03,2788670.0170369437,0.0282973420541226
2020-03-04,2748555.7170369434,-0.014384742459641386
2020-03-05,2781693.617036944,0.012056477441805047
2020-03-06,937223.5224444069,-0.6630744965210309
2020-03-09,908233.0224444069,-0.030932322232362308
2020-03-10,938102.0224444069,0.03288693458823033
2020-03-11,910868.5224444068,-0.029030424568361912
2020-03-12,900326.5224444068,-0.01157356933546183
2020-03-13,892420.0224444069,-0.008781813934053084
2020-03-16,842345.522444407,-0.056110910491275146
2020-03-17,1005580.0365595475,0.19378569692096126
2020-03-18,3323462.566137255,2.3050204313005467
2020-03-19,3279924.166137255,-0.013100313042070266
2020-03-20,3357930.4661372546,0.02378295840048872
2020-03-23,3283552.3661372545,-0.022149982183984784
2020-03-24,3359744.566137255,0.023204198229258788
2020-03-25,3472218.766137255,0.03347700927434283
2020-03-26,3552039.166137255,0.022988298081459302
2020-03-27,3499430.2661372544,-0.014810900876752187
2020-03-30,3423238.0661372547,-0.021772744191328686
2020-03-31,3426866.266137255,0.0010598737014204662
2020-04-01,3408725.266137255,-0.005293757792435905
2020-04-02,3470404.666137255,0.018094564737361374
2020-04-03,3481289.2661372544,0.003136406571316197
2020-04-07,3561109.666137255,0.02292840206541258
2020-04-08,3548410.966137255,-0.0035659390444366945
2020-04-09,3659071.066137255,0.031185818400415677
2020-04-10,3608276.2661372544,-0.013881883975984888
2020-04-13,928313.0649329396,-0.7427267214417812
2020-04-14,938934.8649329396,0.011442045147525004
2020-04-15,936405.8649329396,-0.0026934775717170067
2020-04-16,2829603.8752430324,2.021770773985566
2020-04-17,2808193.475243033,-0.0075665714863217826
2020-04-20,2892050.875243033,0.029861688925383767
2020-04-21,2867072.0752430325,-0.008637054145149259
2020-04-22,2888482.4752430324,0.007467688093674818
2020-04-23,2893835.0752430325,0.0018530837717996018
2020-04-24,2827819.6752430326,-0.022812426514823292
2020-04-27,2858151.0752430325,0.010726072905406614
2020-04-28,2879561.475243033,0.00749099660457242
2020-04-29,4737973.317385807,0.6453801587916872
2020-04-30,4757068.317385807,0.004030204207763566
2020-05-06,3815514.070150344,-0.19792741756395105
2020-05-07,1915309.8107133608,-0.49802050903251127
2020-05-08,1923349.1107133608,0.004197388827140047
2020-05-11,1914836.9107133606,-0.0044257175946820215
2020-05-12,1923822.0107133607,0.004692357845061945
2020-05-13,1930915.510713361,0.003687191414017521
2020-05-14,4812242.201702623,1.4922075435215594
2020-05-15,4844450.201702623,0.0066929299586384605
2020-05-18,1958918.5188369118,-0.5956365661167425
2020-05-19,2058482.8188369113,0.050826156903715836
2020-05-20,5018712.616447426,1.4380638840032245
2020-05-21,5017363.816447427,-0.00026875418121763417
2020-05-22,1939185.0467641822,-0.6135051956154072
2020-05-25,1900356.646764182,-0.020023050438013112
2020-05-26,1941228.646764182,0.021507541792007645
2020-05-27,1895247.646764182,-0.023686545156154204
2020-05-28,1873210.2536298754,-0.011627711645985639
2020-05-29,1873210.2536298754,0.0
2020-06-01,1888595.8536298752,0.008213493370637925
2020-06-02,1897250.2536298754,0.0045824520811936775
2020-06-03,1918405.453629875,0.011150453114724845
2020-06-04,1941483.853629875,0.012029990821978087
2020-06-05,1963600.6536298753,0.011391699167958569
2020-06-08,3122840.1113380017,0.5903641636934567
2020-06-09,3153905.9113380015,0.009947931655934106
2020-06-10,3212382.711338002,0.018541073083309767
2020-06-11,3206900.5113380016,-0.0017065837083019009
2020-06-12,3285478.711338002,0.024502849315775954
2020-06-15,3340300.711338002,0.01668615286132047
2020-06-16,1139655.147411755,-0.6588166018875435
2020-06-17,1148507.947411755,0.0077679638617922375
2020-06-18,1147401.347411755,-0.000963510964372416
2020-06-19,1148507.947411755,0.0009644402130921659
2020-06-22,3398064.5953107555,1.9586774762582508
2020-06-23,3481555.3953107554,0.024570103851237812
2020-06-24,3463791.3953107554,-0.005102317206822526
2020-06-29,3531294.5953107555,0.019488240571122528
2020-06-30,2399612.958481143,-0.3204721685730736
2020-07-01,2390966.758481143,-0.0036031644059268952
2020-07-02,2395035.558481143,0.00170173842257193
2020-07-03,3629732.5799708045,0.5155234614857527
2020-07-06,1211116.113314312,-0.666334616495617
2020-07-07,1237319.313314312,0.021635580364208762
2020-07-08,1424388.6796454822,0.15118923976874
2020-07-09,1446359.2796454823,0.015424582007678156
2020-07-10,2778925.426128277,0.9213244352464214
2020-07-13,3923963.926834399,0.41204362302785524
2020-07-14,3910080.8268343983,-0.0035380294668510004
2020-07-15,3882314.626834399,-0.007101183128860988
2020-07-16,3848598.5268343985,-0.008684535706342866
2020-07-17,3838682.0268343985,-0.002576652236095045
2020-07-20,1473886.2035040888,-0.6160436855147542
2020-07-21,1477627.8035040887,0.002538594900409752
2020-07-22,2667647.8542872136,0.8053584589847846
2020-07-23,2643503.854287214,-0.009050669848045145
2020-07-24,1280867.4180133713,-0.5154660297029374
2020-07-27,2563946.708561635,1.0017268551793777
2020-07-28,2580162.708561635,0.006324624433827308
2020-07-29,1306683.880109934,-0.49356531827468675
2020-07-30,3915434.1439186083,1.9964662482781947
2020-07-31,3968564.143918609,0.013569376484730666
2020-08-03,4037633.1439186083,0.017404027626929164
2020-08-04,4016381.1439186083,-0.005263479677941829
2020-08-05,1349305.4918342154,-0.6640494406569799
2020-08-06,1359614.6918342153,0.007640375039151381
2020-08-07,1367424.6918342153,0.005744274496963353
2020-08-10,1358365.0918342154,-0.00662530086965718
2020-08-11,1328374.6918342153,-0.02207830588424775
2020-08-12,1245901.0918342152,-0.06208609702291212
