trade_date,nav,daily_return
2021-08-02,999922.9276138305,
2021-08-03,975997.9276138305,-0.02392684409896817
2021-08-04,1023184.9276138305,0.04834743872393776
2021-08-05,1029496.9276138305,0.006168972811904316
2021-08-06,1037369.9276138305,0.007647424473862241
2021-08-09,1021060.3438476563,-0.015722051827441907
2021-08-10,1037511.3438476563,0.016111682428100016
2021-08-11,1044500.3438476563,0.006736311888486002
2021-08-12,1045174.3438476563,0.0006452846128486289
2021-08-13,1027204.3438476563,-0.017193303783028302
2021-08-16,997801.8094961166,-0.028623841524467286
2021-08-17,973100.8094961166,-0.02475541712283913
2021-08-18,976275.8094961166,0.0032627657576855817
2021-08-19,1006713.8094961166,0.03117766486061968
2021-08-20,998137.8094961166,-0.008518806356984876
2021-08-23,1016453.5265518951,0.018349888043039497
2021-08-24,1034582.5265518951,0.0178355424290757
2021-08-25,1064635.526551895,0.029048431834782784
2021-08-26,1058390.526551895,-0.005865857229305549
2021-08-27,1052567.526551895,-0.005501749924926691
2021-08-30,1068443.229080963,0.01508283518975273
2021-08-31,1067550.229080963,-0.0008357954598749995
2021-09-01,1047241.2290809631,-0.01902392922296836
2021-09-02,1054609.229080963,0.007035628273025285
2021-09-03,1025190.2290809631,-0.0278956405735582
2021-09-06,1040548.0366312409,0.014980446667000935
2021-09-07,1049193.0366312407,0.008308121966178472
2021-09-08,1031628.0366312409,-0.016741437835307904
2021-09-09,1023605.0366312409,-0.00777702787741108
2021-09-10,1028368.0366312409,0.004653161941910122
2021-09-13,999663.3566312408,-0.027912847324613188
2021-09-14,1022969.3566312408,0.023313848452481745
2021-09-15,1031593.3566312408,0.008430360053403696
2021-09-16,985126.3566312408,-0.045043911635629486
2021-09-17,993286.3566312408,0.008283201383327166
2021-09-22,979761.6636923598,-0.013616106622817647
2021-09-23,979986.6636923598,0.00022964768712419037
2021-09-24,973972.6636923598,-0.006136818206628147
2021-09-27,971967.9869152451,-0.002058247476387054
2021-09-28,952068.9869152451,-0.020472896502644944
2021-09-29,934696.9869152451,-0.018246576916958746
2021-09-30,964593.9869152451,0.031985766958197104
2021-10-08,938833.9830326652,-0.02670554060259067
2021-10-11,923553.4905418204,-0.016276032575519905
2021-10-12,908486.4905418204,-0.016314160635309438
2021-10-13,943794.4905418204,0.038864639559959
2021-10-14,957473.4905418204,0.014493621373173227
2021-10-15,959784.4905418204,0.002413643847927638
2021-10-18,1131408.9230208779,0.1788155926359798
