trade_date,nav,daily_return
2020-01-06,1167841.0746861433,
2020-01-07,1194130.0746861433,0.022510768434022665
2020-01-08,1169139.0746861433,-0.02092820583768351
2020-01-09,1176359.0746861433,0.006175484299794087
2020-01-10,1178510.0746861433,0.0018285233193562345
2020-01-13,1181863.1715624155,0.0028452000099916663
2020-01-14,1179029.1715624155,-0.002397908715823238
2020-01-15,1178427.1715624155,-0.0005105895719291764
2020-01-16,1173072.1715624155,-0.004544192572291106
2020-01-17,1177403.1715624155,0.0036920149544008574
2020-01-20,1396309.402262835,0.18592291577568165
2020-01-21,1380917.402262835,-0.011023344808146374
2020-01-22,1376786.402262835,-0.0029914895657269236
2020-01-23,1343772.402262835,-0.023979028225249333
2020-02-03,1009111.8330857721,-0.24904557394802418
2020-02-04,982144.8330857721,-0.026723499929177663
2020-02-05,995987.8330857721,0.014094662552474047
2020-02-06,1000576.8330857721,0.00460748600289862
2020-02-07,1002123.8330857721,0.0015461081536627397
2020-02-10,1163153.1761449191,0.16068806842294148
2020-02-11,1173438.1761449191,0.00884234356311353
2020-02-12,1176683.1761449191,0.002765377900573185
2020-02-13,1165691.1761449191,-0.009341511991369011
2020-02-14,1171265.1761449191,0.004781712441569441
2020-02-17,1045091.3553377765,-0.10772438502989468
2020-02-18,1051688.3553377765,0.006312366824494431
2020-02-19,1051866.3553377765,0.00016925166005354875
2020-02-20,1068963.3553377765,0.016253966022622413
2020-02-21,1073777.3553377765,0.004503428462689252
2020-02-24,1070481.4031579066,-0.0030694930969493717
2020-02-25,1051278.4031579066,-0.017938658199340374
2020-02-26,1057711.4031579066,0.006119216356653023
2020-02-27,1062976.4031579066,0.004977728314435215
2020-02-28,1029118.4031579065,-0.031852071127274506
2020-03-02,1051101.511805167,0.021361107312631855
2020-03-03,1067531.511805167,0.015631220976728644
2020-03-04,1099593.511805167,0.030033773846904088
2020-03-05,1114741.511805167,0.013775999801173722
2020-03-06,1107467.511805167,-0.006525279558505681
2020-03-09,1059760.5123107466,-0.04307756117979311
2020-03-10,1072944.5123107466,0.0124405465639148
2020-03-11,1076446.5123107466,0.0032639152908828795
2020-03-12,1069684.5123107466,-0.006281779840118906
2020-03-13,1059386.5123107466,-0.009627137610653147
2020-03-16,1032106.8561085433,-0.02575042808757355
2020-03-17,1022066.8561085433,-0.009727674940417375
2020-03-18,1011201.8561085433,-0.010630420050374956
2020-03-19,1031613.8561085433,0.020185880669318035
2020-03-20,1045376.8561085433,0.013341232204767906
2020-03-23,1013694.3539582842,-0.030307254235758085
2020-03-24,1020715.3539582842,0.006926150838844292
2020-03-25,1048880.3539582842,0.02759339309512443
2020-03-26,1030943.3539582842,-0.017101092543404972
2020-03-27,1043491.3539582842,0.012171376780132803
2020-03-30,1203682.3738778175,0.15351446786011147
2020-03-31,1216463.3738778175,0.010618249695577342
2020-04-01,1204582.3738778175,-0.009766837419959429
2020-04-02,1209400.3738778175,0.003999726464940512
2020-04-03,1216988.3738778175,0.006274183606930661
2020-04-07,1071788.5190415184,-0.11931079865096295
2020-04-08,1078960.5190415184,0.006691618609997674
2020-04-09,1087786.5190415184,0.008180095419840328
2020-04-10,1074718.5190415184,-0.012013386607801158
2020-04-13,1073299.8149257859,-0.0013200704096899551
2020-04-14,1089152.8149257859,0.014770337029356595
2020-04-15,1080201.8149257859,-0.0082183141587987
2020-04-16,1097371.8149257859,0.015895177885050682
2020-04-17,1084475.8149257859,-0.011751714254545687
2020-04-20,1089469.4291690858,0.0046046340310887945
2020-04-21,1082621.4291690858,-0.006285628413844391
2020-04-22,1097020.4291690858,0.013300124689986204
2020-04-23,1094249.4291690858,-0.0025259329054599933
2020-04-24,1075795.4291690858,-0.01686452787461168
2020-04-27,1068897.8034924257,-0.006411651778431171
2020-04-28,1031832.8034924258,-0.0346759062268599
2020-04-29,1033349.8034924258,0.0014701994304362476
2020-04-30,1049464.8034924257,0.015594912725135135
2020-05-06,1057089.540169809,0.0072653572106560205
2020-05-07,1046589.5401698089,-0.00993293339967527
2020-05-08,1054142.540169809,0.007216773825940104
2020-05-11,1055078.2758239398,0.0008876746914892042
