trade_date,nav,daily_return
2025-01-06,1041613.5630950744,
2025-01-07,1070218.6530950745,0.02746228641167292
2025-01-08,1073620.4130950745,0.003178565417601531
2025-01-09,1080521.0430950744,0.0064274392660870205
2025-01-10,1037319.8830950744,-0.03998178496945637
2025-01-13,1033441.7364309358,-0.0037386217379419273
2025-01-14,1104737.7064309358,0.06898886263895787
2025-01-15,1109002.9864309358,0.003860898360914744
2025-01-16,1105767.0164309358,-0.0029179091847301164
2025-01-17,1128640.9664309358,0.02068604838099608
2025-01-20,1128257.026365585,-0.0003401790974900676
2025-01-21,1155520.9263655848,0.024164617957509238
2025-01-22,1155541.4663655849,1.7775532689556783e-05
2025-01-23,1144885.1063655848,-0.009221962439406428
2025-01-24,1200144.746365585,0.0482665375702378
2025-01-27,1182912.951770579,-0.014358096927215791
2025-02-05,1290416.6712468276,0.09088049912323437
2025-02-06,1330100.6712468276,0.0307528574949798
2025-02-07,1382767.6712468276,0.039596250974469616
2025-02-10,1449374.9022452936,0.04816950264566633
2025-02-11,1485056.9022452936,0.024618889111936104
2025-02-12,1596288.9022452936,0.07490083365278832
2025-02-13,1595298.9022452936,-0.0006201884875648433
2025-02-14,1689018.9022452936,0.058747611415073564
2025-02-17,2345261.8282455704,0.3885349803533291
2025-02-18,2253791.6982455705,-0.039002097291809146
2025-02-19,2319577.7382455706,0.02918905063463062
2025-02-20,2341173.8682455705,0.009310371299016795
2025-02-21,2412438.9282455705,0.03043988358429983
2025-02-24,1765821.3156654183,-0.26803481116531325
2025-02-25,1776941.9556654182,0.006297715347155286
2025-02-26,1803057.9156654181,0.014697137358220758
2025-02-27,1805342.7756654182,0.0012672138704745706
2025-02-28,1697077.2756654182,-0.05996949801407947
2025-03-03,2106266.612559028,0.24111414533741127
2025-03-04,2120916.832559028,0.006955539205077521
2025-03-05,2155244.362559028,0.016185231534317834
2025-03-06,2243255.5325590284,0.040835819607712764
2025-03-07,2234289.7025590283,-0.003996793887218075
2025-03-10,1836165.9090594435,-0.17818808055356317
2025-03-11,1868127.2990594434,0.01740659155161617
2025-03-12,1917621.4990594434,0.026494018916654705
2025-03-13,1916238.4890594434,-0.0007212111465575433
2025-03-14,1931157.3790594435,0.007785507954869875
2025-03-17,2182029.2047457984,0.12990749920575628
2025-03-18,2162048.6047457987,-0.009156889356266573
2025-03-19,2149282.004745798,-0.005904862625186746
2025-03-20,2131806.004745798,-0.008131087480103383
2025-03-21,2092388.2047457984,-0.018490331630668266
2025-03-24,1735054.6893361618,-0.1707778291806269
2025-03-25,1712644.4893361619,-0.012916134654276656
2025-03-26,1710452.6893361618,-0.0012797752327744494
2025-03-27,1707267.289336162,-0.0018623140060285426
2025-03-28,1698775.4893361619,-0.004973913606288294
2025-03-31,2377990.1873372113,0.39982605250942793
2025-04-01,2372615.4473372116,-0.0022602027664454516
2025-04-02,2383512.4273372116,0.004592813391748551
2025-04-03,2359511.8873372115,-0.01006939998496792
2025-04-07,2125606.9273372116,-0.09913277456040692
2025-04-08,2106690.5073372116,-0.00889930295047392
2025-04-09,2163564.3673372115,0.026996779926580894
2025-04-10,2204357.4273372116,0.018854562691012378
2025-04-11,2238731.9473372116,0.015593895787364698
2025-04-14,1641124.841864037,-0.26693999975476257
2025-04-15,1650829.641864037,0.005913505025599841
2025-04-16,1615033.441864037,-0.021683763782906484
2025-04-17,1629280.441864037,0.008821489159726914
2025-04-18,1639284.641864037,0.006140256608343275
2025-04-21,2023368.7257368087,0.23429981228643015
2025-04-22,2010547.4757368087,-0.006336586029484614
2025-04-23,2027616.7857368088,0.00848988158996078
2025-04-24,1981768.2657368088,-0.022612024285121102
