trade_date,nav,daily_return
2021-03-01,150607.53856750485,
2021-03-03,150364.62552433013,-0.0016128876780350243
2021-03-04,144252.00443115234,-0.040651988935979655
2021-03-05,114117.98119380952,-0.20889847150598861
2021-03-09,116185.6962556648,0.018119099551398676
2021-03-10,107564.12424722667,-0.07420510687878912
2021-03-11,134218.48445377348,0.24779972312407894
2021-03-12,129096.96225458143,-0.03815809886421384
2021-03-15,123948.4375003624,-0.03988106818552439
2021-03-18,124377.6705099678,0.0034629965351853365
2021-03-19,142311.6871003914,0.14419000224792233
2021-03-25,148407.806229496,0.04283639139773676
2021-03-26,296864.52362767217,1.0003295727490542
2021-03-29,134508.34176411625,-0.5469032805926761
2021-03-30,157718.14566544053,0.1725528959536704
2021-03-31,143696.88365700244,-0.08890075361512728
2021-04-06,155004.80444937228,0.07869287422656512
2021-04-07,143273.1804485178,-0.07568555079649975
2021-04-08,154120.21722980976,0.07570877359834705
2021-04-09,153843.63287681105,-0.0017946013700869123
2021-04-12,151544.2929997015,-0.014945954110110904
2021-04-13,145652.15538125514,-0.03888063022246535
2021-04-14,134795.89983466628,-0.07453549532563952
2021-04-16,129337.54993247511,-0.04049344163202373
2021-04-19,136629.42914010526,0.056378671247732104
2021-04-20,123595.09914010527,-0.09539913971706682
2021-04-26,99504.69491509916,-0.19491391157587612
2021-04-30,290975.3443040133,1.9242373392761367
2021-05-06,142197.09721827038,-0.5113087758057544
2021-05-07,149813.44654765617,0.053561918480619974
2021-05-10,158731.5316980601,0.05952793528161071
2021-05-11,147661.14462175855,-0.06974283532625203
2021-05-12,143890.75754545696,-0.0255340501792779
2021-05-14,148102.15863863478,0.029268044487481326
2021-05-18,132281.87802557476,-0.10682005420097274
2021-05-19,111473.85315619005,-0.15730064601412586
2021-05-20,132116.6741005088,0.185180832633419
2021-05-21,297851.07760625373,1.2544548569218539
2021-05-26,116418.85118480216,-0.6091373846271496
2021-05-27,152043.49557356368,0.306004088051095
2021-05-28,147861.01749946128,-0.027508431441440884
2021-05-31,150420.36285781392,0.01730912854270028
2021-06-01,150496.47060359488,0.000505967040199895
2021-06-02,136787.29839435112,-0.09109298147830647
2021-06-03,298683.6630965568,1.1835628497864352
2021-06-04,171555.17915257945,-0.4256291844890089
2021-06-07,175703.72393431197,0.024181985074567924
2021-06-10,161143.35808691513,-0.08286885173156788
2021-06-11,157653.64943871033,-0.02165592606257205
2021-06-15,159273.92144714843,0.010277415170576232
2021-06-16,328545.9137676479,1.0627728053815053
2021-06-17,163097.34069354547,-0.5035782401820097
2021-06-18,159096.89069354546,-0.024527990358326757
2021-06-21,154236.34446464074,-0.03055085619660014
2021-06-22,145491.11823779598,-0.0567001653028002
