trade_time,order_fill_time,btype,symbol,order_price,order_volume,side,volume,vwap,amount,fee,net_amount,cash_balance,posi_balance,posi_vwap,multiplier,margin_ratio,margin_change_amount
2022-01-01 08:00:00,,银证转入,,0.0,0,-,0,0.0,1000000.0,0.0,1000000.0,1000000.0,0,0.0,1,1,0
2025-01-02 09:35:00,2025-01-02 09:35:00,卖出平仓,SHSE.588290,1.3760000467300415,545500,多,-545500,1.3758624467253686,750532.9646886885,75.05329646886887,750457.9113922196,751845.4993431844,0,1.4302859618374215,1,1,0
2025-01-02 09:35:00,2025-01-02 09:35:00,卖出平仓,SZSE.159632,1.8949999809265137,3200,多,-3200,1.894810480928421,6063.393538970948,0.6063393538970947,6062.787199617051,757908.2865428014,403800,1.8784186458669536,1,1,0
2025-01-03 09:35:00,2025-01-03 09:35:00,买入开仓,SZSE.159632,1.86899995803833,3600,多,3600,1.869186858034134,-6729.07268892288,0.6729072688922882,-6729.74559619177,751178.5409466097,407400,1.8783387206609417,1,1,0
2025-01-06 09:35:00,2025-01-06 09:35:00,卖出平仓,SZSE.159632,1.9220000505447388,13900,多,-13900,1.9218078505396845,26713.12912250161,2.671312912250161,26710.45780958936,777888.998756199,393500,1.8783387206609417,1,1,0
2025-01-06 09:35:00,2025-01-06 09:35:00,买入开仓,SZSE.159941,1.27400004863739,602000,多,602000,1.2741274486422538,-767024.724082636,76.70247240826367,-767101.426555045,10787.572201153962,602000,1.274254861387118,1,1,0
2025-01-07 09:35:00,2025-01-07 09:35:00,买入开仓,SZSE.159941,1.2640000581741333,4800,多,4800,1.2641264581799507,-6067.80699926376,0.6067806999263764,-6068.41377996369,4719.158421190272,606800,1.2741757421473447,1,1,0
2025-01-08 09:35:00,2025-01-08 09:35:00,卖出平仓,SZSE.159941,1.256999969482422,600,多,-600,1.2568742694854735,754.1245616912842,0.0754124561691284,754.049149235115,5473.207570425387,606200,1.2741757421473447,1,1,0
2025-01-09 09:35:00,2025-01-09 09:35:00,卖出平仓,SZSE.159941,1.2519999742507937,1600,多,-1600,1.2518747742533685,2002.9996388053896,0.2002999638805389,2002.799338841509,7476.006909266895,604600,1.2741757421473447,1,1,0
2025-01-10 09:35:00,2025-01-10 09:35:00,卖出平仓,SZSE.159941,1.246999979019165,604600,多,-604600,1.2468752790212632,753860.7936962557,75.38607936962556,753785.4076168861,761261.414526153,0,1.2741757421473447,1,1,0
2025-01-10 09:35:00,2025-01-10 09:35:00,买入开仓,SZSE.159632,1.8890000581741333,5500,多,5500,1.8891889581799504,-10390.5392699897,1.0390539269989727,-10391.5783239167,750869.8362022362,399000,1.8784908894837025,1,1,0
2025-01-13 09:35:00,2025-01-13 09:35:00,买入开仓,SZSE.159632,1.8240000009536743,13400,多,13400,1.8241824009537695,-24444.0441727805,2.444404417278052,-24446.4885771977,726423.3476250385,412400,1.8767321859388824,1,1,0
2025-01-14 09:35:00,2025-01-14 09:35:00,卖出平仓,SZSE.159632,1.847000002861023,12100,多,-12100,1.8468153028607368,22346.46516461492,2.2346465164614915,22344.23051809845,748767.5781431369,400300,1.8767321859388824,1,1,0
2025-01-15 09:35:00,2025-01-15 09:35:00,买入开仓,SHSE.518880,6.102000236511231,121900,多,121900,6.102610436534881,-743908.212213602,74.39082122136021,-743982.603034823,4784.975108313491,121900,6.103220697578535,1,1,0
2025-01-16 09:35:00,2025-01-16 09:35:00,卖出平仓,SHSE.518880,6.122000217437744,800,多,-800,6.121388017416001,4897.110413932801,0.4897110413932801,4896.620702891408,9681.595811204896,121100,6.103220697578535,1,1,0
2025-01-16 09:35:00,2025-01-16 09:35:00,卖出平仓,SZSE.159632,1.8730000257492063,3900,多,-3900,1.872812725746632,7303.969630411863,0.7303969630411864,7303.239233448822,16984.83504465372,396400,1.8767321859388824,1,1,0
2025-01-17 09:35:00,2025-01-17 09:35:00,买入开仓,SHSE.518880,6.138999938964844,1100,多,1100,6.1396138389587405,-6753.57522285461,0.6753575222854614,-6754.2505803769,10230.58446427682,122200,6.103553822071501,1,1,0
2025-01-20 09:35:00,2025-01-20 09:35:00,卖出平仓,SZSE.159632,1.8969999551773071,396400,多,-396400,1.8968102551817891,751895.5851540613,75.18955851540613,751820.3955955459,762050.9800598227,0,1.8767321859388824,1,1,0
2025-01-20 09:35:00,2025-01-20 09:35:00,买入开仓,SHSE.518880,6.126999855041504,1200,多,1200,6.127612555027008,-7353.13506603241,0.735313506603241,-7353.87037953901,754697.1096802837,123400,6.103793739357183,1,1,0
2025-01-21 09:35:00,2025-01-21 09:35:00,卖出平仓,SHSE.518880,6.126999855041504,100,多,-100,6.126387155055999,612.6387155055999,0.06126387155056,612.5774516340493,755309.6871319178,123300,6.103793739357183,1,1,0
2025-01-21 09:35:00,2025-01-21 09:35:00,买入开仓,SHSE.511010,138.55702209472656,5400,多,5400,138.57087779693603,-748282.740103454,74.82827401034545,-748357.568377464,6952.118754452909,5400,138.58473488471571,1,1,0
2025-01-22 09:35:00,2025-01-22 09:35:00,卖出平仓,SHSE.511010,138.6463165283203,5400,多,-5400,138.63245189666748,748615.2402420044,74.86152402420045,748540.3787179802,755492.4974724331,0,138.58473488471571,1,1,0
2025-01-22 09:35:00,2025-01-22 09:35:00,卖出平仓,SHSE.518880,6.181000232696533,1100,多,-1100,6.180382132673263,6798.42034594059,0.679842034594059,6797.740503905996,762290.2379763392,122200,6.103793739357183,1,1,0
2025-01-22 09:35:00,2025-01-22 09:35:00,买入开仓,SHSE.511380,11.755000114440918,64500,多,64500,11.756175614452362,-758273.327132177,75.82733271321773,-758349.15446489,3941.083511448698,64500,11.757351232013804,1,1,0
2025-01-23 09:35:00,2025-01-23 09:35:00,买入开仓,SHSE.518880,6.186999797821045,400,多,400,6.187618497800827,-2475.04739912033,0.2475047399120331,-2475.29490386024,1465.7886075884553,122600,6.1040692483956605,1,1,0
2025-01-24 09:35:00,2025-01-24 09:35:00,卖出平仓,SHSE.518880,6.2179999351501465,400,多,-400,6.217378135156632,2486.951254062653,0.2486951254062653,2486.7025589372465,3952.491166525702,122200,6.1040692483956605,1,1,0
2025-01-24 09:35:00,2025-01-24 09:35:00,卖出平仓,SHSE.511380,11.8149995803833,100,多,-100,11.813818080425262,1181.3818080425262,0.1181381808042526,1181.263669861722,5133.754836387424,64400,11.757351232013804,1,1,0
2025-01-27 09:35:00,2025-01-27 09:35:00,卖出平仓,SHSE.511380,11.758000373840332,64400,多,-64400,11.756824573802948,757139.5025529099,75.713950255291,757063.7886026546,762197.543439042,0,11.757351232013804,1,1,0
2025-01-27 09:35:00,2025-01-27 09:35:00,买入开仓,SHSE.518880,6.202000141143799,500,多,500,6.202620341157913,-3101.31017057895,0.3101310170578956,-3101.62030159601,759095.923137446,122700,6.1044733696458495,1,1,0
2025-02-05 09:35:00,2025-02-05 09:35:00,卖出平仓,SHSE.518880,6.439000129699707,4700,多,-4700,6.438356229686737,30260.274279527664,3.0260274279527666,30257.24825209971,789353.1713895458,118000,6.1044733696458495,1,1,0
2025-02-06 09:35:00,2025-02-06 09:35:00,买入开仓,SZSE.159740,0.6740000247955322,1149200,多,1149200,0.6740674247980117,-774638.284577875,77.46382845778751,-774715.748406332,14637.42298321298,1149200,0.6741348315404915,1,1,0
2025-02-07 09:35:00,2025-02-07 09:35:00,卖出平仓,SZSE.159740,0.6909999847412109,31500,多,-31500,0.6909308847427368,21764.32286939621,2.176432286939621,21762.14643710927,36399.56942032225,1117700,0.6741348315404915,1,1,0
2025-02-07 09:35:00,2025-02-07 09:35:00,买入开仓,SHSE.518880,6.420000076293945,3800,多,3800,6.420642076301575,-24398.4398899459,2.4398439889945984,-24400.8797339349,11998.689686387272,121800,6.114357449525002,1,1,0
2025-02-10 09:35:00,2025-02-10 09:35:00,卖出平仓,SZSE.159740,0.7059999704360962,1117700,多,-1117700,0.7059293704390526,789017.257339729,78.90172573397291,788938.355613995,800937.0453003823,0,0.6741348315404915,1,1,0
2025-02-10 09:35:00,2025-02-10 09:35:00,买入开仓,SHSE.510900,1.0420000553131104,759500,多,759500,1.0421042553186417,-791478.181914508,79.14781819145084,-791557.329732699,9379.71556768252,759500,1.0422084657441737,1,1,0
2025-02-10 09:35:00,2025-02-10 09:35:00,卖出平仓,SHSE.518880,6.51800012588501,400,多,-400,6.517348325872422,2606.9393303489687,0.2606939330348969,2606.678636415934,11986.394204098457,121400,6.114357449525002,1,1,0
