trade_time,order_fill_time,btype,symbol,order_price,order_volume,side,volume,vwap,amount,fee,net_amount,cash_balance,posi_balance,posi_vwap,multiplier,margin_ratio,margin_change_amount
2020-01-01 08:00:00,,银证转入,,0.0,0,-,0,0.0,1000000.0,0.0,1000000.0,1000000.0,0,0.0,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SHSE.600605,7.903562068939209,25300,多,25300,7.904352425146103,-199980.116356196,239.97613962743569,-200220.092495823,799779.9075041761,25300,7.913837648056278,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SZSE.000014,7.472062587738037,26700,多,26700,7.472809793996811,-199524.021499714,239.42882579965783,-199763.450325514,600016.4571786616,26700,7.481777165749608,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SHSE.600838,6.148024082183838,32500,多,32500,6.1486388845920565,-199830.763749241,239.79691649909017,-200070.56066574,399945.8965129207,32500,6.156017251253567,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SHSE.600684,3.7876272201538086,52700,多,52700,3.788005982875824,-199627.915297555,239.55349835706707,-199867.468795912,200078.4277170077,52700,3.792551590055275,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SZSE.002208,6.321349620819092,31600,多,31600,6.321981755781174,-199774.623482685,239.7295481792221,-200014.353030864,64.07468614337267,31600,6.329568133888111,1,1,0
2020-01-13 09:30:00,2020-01-13 09:30:00,卖出平仓,SZSE.000014,7.792065143585205,800,多,-800,7.791285937070847,6233.028749656677,7.479634499588013,6225.549115157089,6289.623801300461,25900,7.481777165749608,1,1,0
2020-01-13 09:30:00,2020-01-13 09:30:00,卖出平仓,SHSE.600838,6.214954853057861,100,多,-100,6.2143333575725554,621.4333357572556,0.7457200029087067,620.6876157543469,6910.311417054808,32400,6.156017251253567,1,1,0
2020-01-13 09:30:00,2020-01-13 09:30:00,买入开仓,SHSE.600684,3.75788164138794,900,多,900,3.7582574295520783,-3382.43168659687,4.058918023916244,-3386.49060462078,3523.8208124340213,53600,3.7920514813532415,1,1,0
2020-01-13 09:30:00,2020-01-13 09:30:00,卖出平仓,SZSE.002208,6.539000988006592,700,多,-700,6.538347087907791,4576.8429615354535,5.492211553842544,4571.3507499816105,8095.171562415631,30900,6.329568133888111,1,1,0
2020-01-20 09:30:00,2020-01-20 09:30:00,卖出平仓,SZSE.002208,6.718799591064453,30900,多,-30900,6.718127711105347,207590.1462731552,249.10817552778624,207341.0380976274,215436.20966004304,0,6.329568133888111,1,1,0
