trade_time,order_fill_time,btype,symbol,order_price,order_volume,side,volume,vwap,amount,fee,net_amount,cash_balance,posi_balance,posi_vwap,multiplier,margin_ratio,margin_change_amount
2020-01-01 08:00:00,,银证转入,,0.0,0,-,0,0.0,1000000.0,0.0,1000000.0,1000000.0,0,0.0,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SZSE.300576,9.210580825805664,10300,多,10300,9.212422941970823,-94887.9563022995,28.466386890689847,-94916.4226891901,905083.57731081,10300,9.215186668853416,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SHSE.600114,8.568497657775879,11000,多,11000,8.570211357307434,-94272.3249303817,28.28169747911453,-94300.6066278608,810782.970682949,11000,8.572782420714626,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SZSE.002077,6.360000133514404,14900,多,14900,6.361272133541107,-94782.9547897624,28.434886436928743,-94811.3896761994,715971.5810067495,14900,6.363180515181169,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SZSE.002761,10.187189102172852,9300,多,9300,10.189226539993284,-94759.8068219375,28.427942046581265,-94788.2347639841,621183.3462427654,9300,10.192283307955282,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SZSE.002654,5.929999828338623,16000,多,16000,5.93118582830429,-94898.9732528686,28.46969197586059,-94927.4429448445,526255.903297921,16000,5.932965184052781,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SHSE.600480,4.280344009399414,22100,多,22100,4.280344013496614,-94595.6026982751,28.378680809482542,-94623.9813790846,431631.9219188363,22100,4.281628116700663,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SZSE.300035,8.129104614257812,11600,多,11600,8.130730435180665,-94316.4730480957,28.29494191442871,-94344.7679900101,337287.15392882616,11600,8.133169654311219,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SZSE.002354,2.990000009536743,31700,多,31700,2.99059800953865,-94801.9569023752,28.440587070712567,-94830.3974894459,242456.75643938023,31700,2.991495188941512,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SZSE.300468,13.487712860107422,7000,多,7000,13.490410402679442,-94432.872818756,28.329861845626827,-94461.2026806017,147995.5537587785,7000,13.494457525800248,1,1,0
2020-01-06 09:30:00,2020-01-06 09:30:00,买入开仓,SZSE.300655,6.062594413757324,15600,多,15600,6.063806932640076,-94595.3881491851,28.37861644475555,-94623.7667656299,53371.78699314856,15600,6.065626074719868,1,1,0
2020-01-13 09:30:00,2020-01-13 09:30:00,卖出平仓,SZSE.002354,3.009999990463257,31700,多,-31700,3.0093979904651644,95397.91629774572,28.619374889323712,95369.2969228564,148741.08391600495,0,2.991495188941512,1,1,0
2020-01-13 09:30:00,2020-01-13 09:30:00,卖出平仓,SZSE.300468,14.902999877929688,7000,多,-7000,14.900019277954105,104300.13494567871,31.29004048370361,104268.84490519502,253009.9288212,0,13.494457525800248,1,1,0
