trade_time,order_fill_time,btype,symbol,order_price,order_volume,side,volume,vwap,amount,fee,net_amount,cash_balance,posi_balance,posi_vwap,multiplier,margin_ratio,margin_change_amount
2025-01-01 08:00:00,,银证转入,,0.0,0,-,0,0.0,1000000.0,0.0,1000000.0,1000000.0,0,0.0,1,1,0
2025-01-06 09:30:00,2025-01-06 09:30:00,买入开仓,SHSE.688188,132.9743194580078,1504,多,1504,132.9876168899536,-200013.37580249,240.0160509629883,-200253.391853453,799746.6081465468,1504,133.14720203022156,1,1,0
2025-01-06 09:30:00,2025-01-06 09:30:00,买入开仓,SHSE.688017,99.81777954101562,2003,多,2003,99.82776131896972,-199955.005921896,239.9460071062756,-200194.951929002,599551.6562175441,2003,99.94755463255248,1,1,0
2025-01-06 09:30:00,2025-01-06 09:30:00,买入开仓,SHSE.603960,18.033201217651367,11000,多,11000,18.035004537773133,-198385.049915504,238.06205989860533,-198623.111975403,400928.544242141,11000,18.05664654321846,1,1,0
2025-01-06 09:30:00,2025-01-06 09:30:00,买入开仓,SHSE.688169,167.1253204345703,1195,多,1195,167.14203296661375,-199734.729395103,239.6816752741241,-199974.411070377,200954.1331717635,1195,167.3426034061737,1,1,0
2025-01-06 09:30:00,2025-01-06 09:30:00,买入开仓,SHSE.603203,21.05513381958008,9400,多,9400,21.05723933296204,-197938.049729843,237.52565967581177,-198175.575389518,2778.55778224452,9400,21.082508020161598,1,1,0
2025-01-13 09:30:00,2025-01-13 09:30:00,卖出平仓,SHSE.688017,129.5133056640625,424,多,-424,129.5003543334961,54908.15023740235,65.8897802848828,54842.26045711747,57620.81823936199,1579,99.94755463255248,1,1,0
2025-01-13 09:30:00,2025-01-13 09:30:00,买入开仓,SHSE.603960,18.152891159057617,400,多,400,18.154706448173524,-7261.88257926941,8.71425909512329,-7270.59683836453,50350.221400997456,11400,18.06085165033049,1,1,0
2025-01-13 09:30:00,2025-01-13 09:30:00,买入开仓,SHSE.603203,21.25946044921875,300,多,300,21.26158639526367,-6378.4759185791,7.65417110229492,-6386.13008968139,43964.091311316064,9700,21.08883561641241,1,1,0
2025-01-20 09:30:00,2025-01-20 09:30:00,卖出平仓,SHSE.603203,23.71135139465332,9700,多,-9700,23.70898025951385,229977.1085172844,275.97253022074125,229701.13598706364,273665.2272983797,0,21.08883561641241,1,1,0
2025-01-20 09:30:00,2025-01-20 09:30:00,卖出平仓,SHSE.603960,19.220121383666992,11400,多,-11400,19.218199371528627,219087.47283542636,262.9049674025116,218824.56786802385,492489.7951664035,0,18.06085165033049,1,1,0
2025-01-20 09:30:00,2025-01-20 09:30:00,卖出平仓,SHSE.688017,138.7657012939453,1579,多,-1579,138.75182472381593,219089.1312389053,262.9069574866864,218826.22428141863,711316.0194478221,0,99.94755463255248,1,1,0
2025-01-20 09:30:00,2025-01-20 09:30:00,卖出平仓,SHSE.688169,166.99029541015625,1195,多,-1195,166.97359638061525,199533.4476748352,239.44013720980223,199294.0075376254,910610.0269854476,0,167.3426034061737,1,1,0
2025-01-20 09:30:00,2025-01-20 09:30:00,卖出平仓,SHSE.688188,135.927734375,1504,多,-1504,135.9141416015625,204414.86896875003,245.2978427625,204169.57112598757,1114779.598111435,0,133.14720203022156,1,1,0
2025-01-20 09:30:00,2025-01-20 09:30:00,买入开仓,SHSE.688022,11.779999732971191,18926,多,18926,11.781177732944489,-222970.569773707,267.56468372844887,-223238.134457435,891541.4636539993,18926,11.795315146224022,1,1,0
2025-01-20 09:30:00,2025-01-20 09:30:00,买入开仓,SZSE.002248,8.079999923706055,27500,多,27500,8.080807923698424,-222222.217901706,266.666661482048,-222488.884563188,669052.5790908106,27500,8.090504893206862,1,1,0
2025-01-20 09:30:00,2025-01-20 09:30:00,买入开仓,SHSE.688218,21.2333984375,10495,多,10495,21.23552177734375,-222866.801053222,267.44016126386714,-223134.241214486,445918.3378763241,10495,21.26100440347656,1,1,0
2025-01-20 09:30:00,2025-01-20 09:30:00,买入开仓,SZSE.301112,23.70512580871582,9300,多,9300,23.70749632129669,-220479.715788059,264.575658945671,-220744.291447004,225174.0464293192,9300,23.735945316882244,1,1,0
2025-01-20 09:30:00,2025-01-20 09:30:00,买入开仓,SHSE.688090,28.613643646240234,7784,多,7784,28.616505010604858,-222750.875002548,267.3010500030578,-223018.176052551,2155.870376767911,7784,28.650844816617585,1,1,0
