trade_time,order_fill_time,btype,symbol,order_price,order_volume,side,volume,vwap,amount,fee,net_amount,cash_balance,posi_balance,posi_vwap,multiplier,margin_ratio,margin_change_amount
2020-01-01 08:00:00,,银证转入,,0.0,0,-,0,0.0,1000000.0,0.0,1000000.0,1000000.0,0,0.0,1,1,0
2020-01-06 14:50:00,2020-01-06 14:50:00,买入开仓,SHSE.511260,106.2186508178711,7500,多,7500,106.22927268295288,-796719.545122146,79.67195451221467,-796799.217076658,203200.78292334115,7500,106.23989561022118,1,1,0
2020-01-06 14:50:00,2020-01-06 14:50:00,买入开仓,SHSE.518880,3.496999979019165,18800,多,18800,3.497349679017067,-65750.1739655208,6.575017396552085,-65756.7489829174,137444.03394042375,18800,3.497699413984968,1,1,0
2020-01-06 14:50:00,2020-01-06 14:50:00,买入开仓,SHSE.512890,0.6110000014305115,209500,多,209500,0.6110611014306545,-128017.300749722,12.801730074972212,-128030.102479797,9413.931460626642,209500,0.6111222075407976,1,1,0
2020-01-13 14:50:00,2020-01-13 14:50:00,卖出平仓,SHSE.518880,3.4179999828338623,1400,多,-1400,3.417658182835579,4784.72145596981,0.4784721455969811,4784.242983824213,14198.174444450857,17400,3.497699413984968,1,1,0
2020-01-13 14:50:00,2020-01-13 14:50:00,买入开仓,SHSE.512890,0.6110000014305115,1600,多,1600,0.6110611014306545,-977.697762289047,0.0977697762289047,-977.795532065276,13220.37891238558,211100,0.6111222075407976,1,1,0
2020-01-13 14:55:00,2020-01-13 14:55:00,买入开仓,SHSE.511260,106.54269409179688,100,多,100,106.55334836120603,-10655.3348361206,1.0655334836120605,-10656.4003696042,2563.978542781362,7600,106.24416019029778,1,1,0
2020-01-13 14:55:00,2020-01-13 14:55:00,买入开仓,SHSE.512890,0.6110000014305115,100,多,100,0.6110611014306545,-61.1061101430654,0.0061106110143065,-61.1122207540797,2502.8663220272824,211200,0.6111222075407976,1,1,0
2020-01-20 14:50:00,2020-01-20 14:50:00,卖出平仓,SHSE.518880,3.4049999713897705,100,多,-100,3.404659471392632,340.4659471392632,0.0340465947139263,340.43190054454925,2843.2982225718315,17300,3.497699413984968,1,1,0
2020-01-20 14:50:00,2020-01-20 14:50:00,买入开仓,SHSE.512890,0.6025000214576721,2500,多,2500,0.6025602714598178,-1506.40067864954,0.1506400678649544,-1506.5513187174,1336.746903854422,213700,0.6110227494213096,1,1,0
2020-02-03 14:50:00,2020-02-03 14:50:00,卖出平仓,SHSE.512890,0.5235000252723694,166800,多,-166800,0.5234476752698421,87311.07223500966,8.731107223500969,87302.34112778616,88639.08803164058,46900,0.6110227494213096,1,1,0
2020-02-03 14:55:00,2020-02-03 14:55:00,买入开仓,SHSE.511260,108.60245513916016,600,多,600,108.61331538467408,-65167.9892308044,6.516798923080445,-65174.5060297275,23464.58200191305,8200,106.41830774097448,1,1,0
2020-02-03 14:55:00,2020-02-03 14:55:00,买入开仓,SHSE.518880,3.5199999809265137,1300,多,1300,3.520351980924606,-4576.45757520198,0.4576457575201988,-4576.9152209595,18887.666780953547,18600,3.499307262521476,1,1,0
2020-02-10 14:50:00,2020-02-10 14:50:00,买入开仓,SHSE.511260,108.8834228515625,100,多,100,108.89431119384766,-10889.4311193847,1.0889431119384767,-10890.5200624967,7997.146718456843,8300,106.44827030584185,1,1,0
2020-02-10 14:50:00,2020-02-10 14:50:00,买入开仓,SHSE.518880,3.4809999465942383,400,多,400,3.4813480465888977,-1392.53921863555,0.1392539218635559,-1392.67847255742,6604.46824589942,19000,3.498936502918783,1,1,0
2020-02-10 14:50:00,2020-02-10 14:50:00,卖出平仓,SHSE.512890,0.5580000281333923,2900,多,-2900,0.557944228130579,1618.038261578679,0.1618038261578679,1617.8764577525212,8222.344703651941,44000,0.6110227494213096,1,1,0
2020-02-17 14:50:00,2020-02-17 14:50:00,卖出平仓,SHSE.518880,3.505000114440918,100,多,-100,3.504649614429474,350.4649614429474,0.0350464961442947,350.42991494680314,8572.774618598743,18900,3.498936502918783,1,1,0
2020-02-17 14:50:00,2020-02-17 14:50:00,卖出平仓,SHSE.512890,0.5759999752044678,1300,多,-1300,0.5759423752069474,748.7250877690316,0.0748725087769031,748.6502152602546,9321.424833859,42700,0.6110227494213096,1,1,0
2020-02-17 14:55:00,2020-02-17 14:55:00,买入开仓,SHSE.518880,3.505000114440918,100,多,100,3.505350614452362,-350.535061445236,0.0350535061445236,-350.57011495138,8970.854718907618,19000,3.4989721063219146,1,1,0
2020-02-24 14:50:00,2020-02-24 14:50:00,卖出平仓,SHSE.518880,3.724999904632568,1100,多,-1100,3.724627404642105,4097.090145106316,0.4097090145106316,4096.680436091805,13067.535154999425,17900,3.4989721063219146,1,1,0
2020-02-24 14:50:00,2020-02-24 14:50:00,买入开仓,SHSE.512890,0.5720000267028809,300,多,300,0.5720572267055511,-171.617168011665,0.0171617168011665,-171.634329728466,12895.900825270955,43000,0.6107512960469392,1,1,0
2020-02-24 14:55:00,2020-02-24 14:55:00,买入开仓,SHSE.511260,108.70720672607422,100,多,100,108.71807744674682,-10871.8077446746,1.0871807744674682,-10872.8949254491,2023.0058998218085,8400,106.47542124570673,1,1,0
2020-03-02 14:50:00,2020-03-02 14:50:00,卖出平仓,SHSE.511260,109.36116027832033,100,多,-100,109.35022416229248,10935.022416229249,1.0935022416229248,10933.928913987624,12956.934813809434,8300,106.47542124570673,1,1,0
2020-03-02 14:50:00,2020-03-02 14:50:00,买入开仓,SHSE.518880,3.5420000553131104,1000,多,1000,3.542354255318642,-3542.35425531864,0.3542354255318641,-3542.70849074417,9414.22632306526,18900,3.501286200735791,1,1,0
2020-03-02 14:50:00,2020-03-02 14:50:00,卖出平仓,SHSE.512890,0.5799999833106995,300,多,-300,0.5799419833123683,173.9825949937105,0.017398259499371,173.96519673421113,9588.191519799471,42700,0.6107512960469392,1,1,0
2020-03-09 14:50:00,2020-03-09 14:50:00,卖出平仓,SHSE.518880,3.658999919891357,400,多,-400,3.658634019899369,1463.4536079597474,0.1463453607959747,1463.3072625989514,11051.498782398425,18500,3.501286200735791,1,1,0
2020-03-09 14:50:00,2020-03-09 14:50:00,买入开仓,SHSE.512890,0.5705000162124634,1000,多,1000,0.5705570662140846,-570.557066214084,0.0570557066214084,-570.614121920706,10480.884660477715,43700,0.6098328252431353,1,1,0
2020-03-09 14:55:00,2020-03-09 14:55:00,卖出平仓,SHSE.511260,111.5521011352539,100,多,-100,111.54094592514038,11154.09459251404,1.115409459251404,11152.979183054787,21633.863843532505,8200,106.47542124570673,1,1,0
2020-03-16 14:50:00,2020-03-16 14:50:00,卖出平仓,SHSE.511260,110.02588653564452,1200,多,-1200,110.01488394699096,132017.86073638915,13.201786073638916,132004.6589503155,153638.522793848,7000,106.47542124570673,1,1,0
