trade_date,portfolio_return,benchmark_return,excess_return,selected_strategy,portfolio_nav,block_id
2016-03-04,0.012991975544516476,0.01159669959203491,0.0013952759524815672,ETF_长持_黄金ETF,1.0129919755445165,0
2016-03-07,-0.0007544322897020672,0.0035392989956493093,-0.0042937312853513765,ETF_长持_黄金ETF,1.0122277416889567,0
2016-03-08,0.004907512268780945,0.0009124464622118911,0.003995065806569054,ETF_长持_黄金ETF,1.0171952617500957,0
2016-03-09,-0.010518407212622205,-0.011508837465412647,0.0009904302527904418,ETF_长持_黄金ETF,1.0064959877722583,0
2016-03-10,-0.0060744115413817745,-0.019128606432421313,0.013054194891039539,ETF_长持_黄金ETF,1.00038211692778,0
2016-03-11,0.012605042016806456,0.0017054269894747343,0.010899615027331722,ETF_长持_黄金ETF,1.0129919755445165,0
2016-03-14,-0.010184835910976742,0.01570627340485209,-0.02589110931582883,ETF_长持_黄金ETF,1.0026748184944594,0
2016-03-15,-0.01981707317073189,0.0029648134071202925,-0.022781886577852184,ETF_长持_黄金ETF,0.9828047382499043,0
2016-03-16,0.0073872472783829135,0.004960745804349687,0.002426501474033227,ETF_长持_黄金ETF,0.9900649598777228,0
2016-03-17,0.010034735623311253,0.011058491029609874,-0.001023755406298621,ETF_长持_黄金ETF,1.0,0
2016-03-18,0.0,0.015286806344489756,-0.015286806344489756,ETF_长持_黄金ETF,1.0,0
2016-03-21,-0.015666794038975862,0.024424685912162403,-0.040091479951138265,ETF_长持_黄金ETF,0.9843332059610241,0
2016-03-22,0.008152173913043459,-0.007277229422990472,0.015429403336033931,ETF_长持_黄金ETF,0.9923576614444021,0
2016-03-23,-0.01039661147477855,0.00319366699069068,-0.01359027846546923,ETF_长持_黄金ETF,0.9820405043943448,0
2016-03-24,-0.014007782101167487,-0.016761480605436363,0.0027536985042688755,ETF_长持_黄金ETF,0.9682842949942682,0
2016-03-25,0.005919494869771169,0.005017897288518203,0.0009015975812529664,ETF_长持_黄金ETF,0.9740160489109667,0
2016-03-28,-0.003138485680658998,-0.008783679891115614,0.005645194210456617,ETF_长持_黄金ETF,0.9709591134887275,0
2016-03-29,0.0023612750885477762,-0.010826953212362156,0.013188228300909932,ETF_长持_黄金ETF,0.9732518150554069,0
2016-03-30,0.00903023164507255,0.02579104651647124,-0.016760814871398688,ETF_长持_黄金ETF,0.9820405043943445,0
2016-03-31,-0.008560311284046773,0.0005635711594713655,-0.009123882443518139,ETF_长持_黄金ETF,0.9736339319831866,0
2016-04-01,0.004174397031539767,0.001182969551577484,0.002991427479962283,ETF_长持_上证50ETF,0.9776982665786637,1
2016-04-04,0.0,0.0,0.0,ETF_长持_上证50ETF,0.9776982665786637,1
2016-04-05,0.004618937644341958,0.013219239808823113,-0.008600302164481155,ETF_长持_上证50ETF,0.9822141939069717,1
2016-04-06,-0.0045977011494253706,-0.002131484229461189,-0.0024662169199641815,ETF_长持_上证50ETF,0.9776982665786638,1
2016-04-07,-0.012009237875288736,-0.014807978910140296,0.0027987410348515596,ETF_长持_上证50ETF,0.9659568555250632,1
2016-04-08,-0.00701262272089731,-0.007342558176882785,0.000329935455985475,ETF_长持_上证50ETF,0.9591829645326015,1
2016-04-11,0.009416195856873477,0.01392772096079331,-0.004511525103919833,ETF_长持_上证50ETF,0.968214819189217,1
2016-04-12,-0.0009328358208953169,-0.003605465930931917,0.0026726301100366,ETF_长持_上证50ETF,0.9673116337235557,1
2016-04-13,0.012138188608776801,0.013339776601138054,-0.0012015879923612527,ETF_长持_上证50ETF,0.9790530447771562,1
2016-04-14,0.002767527675276771,0.004430328960740582,-0.0016628012854638108,ETF_长持_上证50ETF,0.9817626011741409,1
2016-04-15,0.0018399264029438367,-0.0011071385496222996,0.0029470649525661363,ETF_长持_上证50ETF,0.983568972105464,1
2016-04-18,-0.011019283746556474,-0.013370860318574707,0.0023515765720182324,ETF_长持_上证50ETF,0.972730746517525,1
2016-04-19,0.0032497678737231084,0.0030509348269609493,0.00019883304676215907,ETF_长持_上证50ETF,0.9758918956473404,1
2016-04-20,-0.006015733456732897,-0.01768719658682949,0.011671463130096593,ETF_长持_上证50ETF,0.9700211901205401,1
2016-04-21,-0.0009310986964619072,-0.00642028623214197,0.005489187535680062,ETF_长持_上证50ETF,0.9691180046548784,1
2016-04-22,0.004659832246039164,0.004523788227392966,0.00013604401864619753,ETF_长持_上证50ETF,0.9736339319831864,1
2016-04-25,-0.005102040816326592,-0.004053071005799991,-0.001048969810526601,ETF_长持_上证50ETF,0.9686664119220476,1
2016-04-26,0.0032634032634033527,0.005416578340055933,-0.0021531750766525803,ETF_长持_上证50ETF,0.9718275610518632,1
2016-04-27,-0.003717472118959231,-0.004166162733841294,0.0004486906148820635,ETF_长持_上证50ETF,0.9682148191892167,1
2016-04-28,-0.0009328358208953169,-0.0016850417616944835,0.0007522059407991666,ETF_长持_上证50ETF,0.9673116337235553,1
2016-04-29,-0.00732421875,-0.0012136376575584418,-0.006110581092441558,ETF_长持_创业板ETF,0.9602268317187441,2
2016-05-02,0.0,0.0,0.0,ETF_长持_创业板ETF,0.9602268317187441,2
2016-05-03,0.038858829316281485,0.017991506504595467,0.020867322811686018,ETF_长持_创业板ETF,0.9975401222774165,2
2016-05-04,-0.004734848484848619,-0.0012690989938601849,-0.0034657494909884345,ETF_长持_创业板ETF,0.9928169209408756,2
