trade_date,excess_return,portfolio_return,benchmark_return
2016-03-04,-0.011133803024260924,0.0004628965677739849,0.01159669959203491
2016-03-07,0.005558584607173067,0.009097883602822376,0.0035392989956493093
2016-03-08,0.0003237503144823961,0.0012361967766942872,0.0009124464622118911
2016-03-09,-0.004009270894999917,-0.015518108360412564,-0.011508837465412647
2016-03-10,0.0006216604911144508,-0.018506945941306863,-0.019128606432421313
2016-03-11,-0.0011473561264698784,0.0005580708630048559,0.0017054269894747343
2016-03-14,0.0048711233108815755,0.020577396715733665,0.01570627340485209
2016-03-15,-0.0033966165927092895,-0.000431803185588997,0.0029648134071202925
2016-03-16,-0.005273008036500881,-0.00031226223215119475,0.004960745804349687
2016-03-17,0.006112778209009351,0.017171269238619224,0.011058491029609874
2016-03-18,0.005703034503869775,0.02098984084835953,0.015286806344489756
2016-03-21,0.00023751188509613108,0.024662197797258534,0.024424685912162403
2016-03-22,0.0009632132409541638,-0.006314016182036308,-0.007277229422990472
2016-03-23,0.0011430743340008487,0.004336741324691529,0.00319366699069068
2016-03-24,9.555408337447169e-05,-0.01666592652206189,-0.016761480605436363
2016-03-25,0.0013848702283416614,0.006402767516859864,0.005017897288518203
2016-03-28,0.0006558369865818925,-0.008127842904533722,-0.008783679891115614
2016-03-29,-0.0024340220408464175,-0.013260975253208573,-0.010826953212362156
2016-03-30,0.0030702216819227246,0.028861268198393963,0.02579104651647124
2016-03-31,0.0007043580025156704,0.0012679291619870359,0.0005635711594713655
2016-04-01,-0.0018268628838272738,-0.0006438933322497897,0.001182969551577484
2016-04-04,0.0,0.0,0.0
2016-04-05,0.00384361249611076,0.017062852304933873,0.013219239808823113
2016-04-06,0.0023415169275479153,0.0002100326980867262,-0.002131484229461189
2016-04-07,-3.8349080709432215e-05,-0.014846327990849728,-0.014807978910140296
2016-04-08,-0.0006856391442209286,-0.008028197321103714,-0.007342558176882785
2016-04-11,0.002367125292856098,0.01629484625364941,0.01392772096079331
2016-04-12,-0.0013511731964623852,-0.004956639127394302,-0.003605465930931917
2016-04-13,0.00037919677088060766,0.013718973372018661,0.013339776601138054
2016-04-14,0.001373228009161842,0.005803556969902424,0.004430328960740582
2016-04-15,-0.00048170046577677983,-0.0015888390153990795,-0.0011071385496222996
2016-04-18,-0.0008222299294081692,-0.014193090247982876,-0.013370860318574707
2016-04-19,0.00036879069563577893,0.0034197255225967282,0.0030509348269609493
2016-04-20,-0.008153149279667704,-0.025840345866497194,-0.01768719658682949
2016-04-21,-0.0006173063136505341,-0.007037592545792504,-0.00642028623214197
2016-04-22,0.0006585012458963924,0.005182289473289359,0.004523788227392966
2016-04-25,-0.00042680278181861375,-0.0044798737876186046,-0.004053071005799991
2016-04-26,0.001754218553885023,0.007170796893940956,0.005416578340055933
2016-04-27,-0.00023423717062476257,-0.004400399904466057,-0.004166162733841294
2016-04-28,-0.0007821699166246088,-0.0024672116783190923,-0.0016850417616944835
2016-04-29,-0.002080207701556517,-0.003293845359114959,-0.0012136376575584418
2016-05-02,0.0,0.0,0.0
2016-05-03,0.004934687540245546,0.022926194044841013,0.017991506504595467
2016-05-04,5.3698768030223e-05,-0.0012154002258299619,-0.0012690989938601849
2016-05-05,0.0025205109894266275,0.003909684886330256,0.0013891738969036282
2016-05-06,-0.007022932939924807,-0.033024047653455645,-0.026001114713530837
2016-05-09,-0.009223377651980336,-0.029904422584145163,-0.020681044932164827
2016-05-10,-0.0008639065542082787,0.00027681057553989125,0.00114071712974817
2016-05-11,-0.0019627627439350683,0.0024998304149209303,0.004462593158855999
2016-05-12,-0.0008419297365888461,0.0015353180756821534,0.0023772478122709995
2016-05-13,-1.7026931445267117e-05,-0.004936581959616808,-0.0049195550281715406
2016-05-16,0.0045528875017875805,0.011178523275368576,0.006625635773580996
2016-05-17,0.010709367305294482,0.007710118603589833,-0.0029992487017046487
2016-05-18,-0.012760338502770141,-0.018589552648125784,-0.005829214145355643
2016-05-19,0.0022945670857877167,0.0004902856624743693,-0.0018042814233133475
2016-05-20,0.002493753339089559,0.007626193820236364,0.005132440481146805
2016-05-23,0.004303647965189302,0.0072287816374828244,0.002925133672293523
2016-05-24,-0.0031983847576351945,-0.010864466486438204,-0.007666081728803009
2016-05-25,-0.00018832009568388775,-0.0016016125458030068,-0.001413292450119119
2016-05-26,0.0031946304807199954,0.004824193044242975,0.0016295625635229793
