trade_date,portfolio_return,benchmark_return,excess_return,selected_strategy,portfolio_nav,days_held
2016-03-04,-0.012454795004676722,0.01159669959203491,-0.02405149459671163,ETF_长持_有色金属,0.9875452049953233,0
2016-03-07,0.03699338863882495,0.0035392989956493093,0.033454089643175644,ETF_长持_有色金属,1.0240778485621234,1
2016-03-08,-0.004138279832207936,0.0009124464622118911,-0.005050726294419827,ETF_长持_有色金属,1.0198399278548078,2
2016-03-09,-0.05791676500198639,-0.011508837465412647,-0.046407927536573745,ETF_长持_有色金属,0.9607740984135982,3
2016-03-10,-0.017371064714985507,-0.019128606432421313,0.0017575417174358066,ETF_长持_有色金属,0.9440844293735737,4
2016-03-11,0.002233165738332543,0.0017054269894747343,0.0005277387488578089,ETF_长持_有色金属,0.946192726375344,5
2016-03-14,0.028477038697088508,0.01570627340485209,0.012770765292236419,ETF_长持_有色金属,0.9731374932592384,6
2016-03-15,-0.020753889984659102,0.0029648134071202925,-0.023718703391779394,ETF_长持_有色金属,0.9529411047841893,7
2016-03-16,-0.00726067120445284,0.004960745804349687,-0.012221417008802526,ETF_长持_有色金属,0.9460221127451433,8
2016-03-17,0.030507874142539748,0.011058491029609874,0.019449383112929874,ETF_长持_有色金属,0.9748832362968316,9
2016-03-18,0.03370491557363997,0.015286806344489756,0.018418109229150215,ETF_长持_有色金属,1.0077415934703733,10
2016-03-21,0.0222210129153968,0.024424685912162403,-0.0022036729967656044,ETF_长持_有色金属,1.030134632434261,11
2016-03-22,0.0005146132415310145,-0.007277229422990472,0.007791842664521487,ETF_长持_有色金属,1.0306647533566715,12
2016-03-23,0.005134617431095112,0.00319366699069068,0.001940950440404432,ETF_长持_有色金属,1.035956822564872,13
2016-03-24,-0.027712342182578564,-0.016761480605436363,-0.010950861577142201,ETF_长持_有色金属,1.0072480326115776,14
2016-03-25,0.0022867098600751756,0.005017897288518203,-0.002731187428443027,ETF_长持_有色金属,1.0095513166192918,15
2016-03-28,0.0002203028711802446,-0.008783679891115614,0.009003982762295859,ETF_长持_有色金属,1.0097737236729467,16
2016-03-29,-0.004438275981715978,-0.010826953212362156,0.006388677230646178,ETF_长持_有色金属,1.0052920692082012,17
2016-03-30,0.032758119067534786,0.02579104651647124,0.006967072551063547,ETF_长持_有色金属,1.038223546508972,18
2016-03-31,-0.003271972838223891,0.0005635711594713655,-0.0038355439976952566,ETF_长持_有色金属,1.0348265072647902,19
2016-04-01,0.0077990213685532606,0.001182969551577484,0.0066160518169757765,ETF_长持_有色金属,1.0428971413076937,0
2016-04-04,0.0,0.0,0.0,ETF_长持_有色金属,1.0428971413076937,1
2016-04-05,0.016011942496063192,0.013219239808823113,0.0027927026872400784,ETF_长持_有色金属,1.0595959503636212,2
2016-04-06,-0.0015181662392030892,-0.002131484229461189,0.0006133179902580999,ETF_长持_有色金属,1.057987307564583,3
2016-04-07,-0.01769855439728174,-0.014807978910140296,-0.0028905754871414446,ETF_长持_有色金属,1.0392624616500175,4
2016-04-08,-0.0023452570108524196,-0.007342558176882785,0.004997301166030366,ETF_长持_有色金属,1.036825124075717,5
2016-04-11,0.02381917875844075,0.01392772096079331,0.00989145779764744,ETF_长持_有色金属,1.0615214470473189,6
2016-04-12,-0.009663624361403222,-0.003605465930931917,-0.006058158430471305,ETF_长持_有色金属,1.0512633025314804,7
2016-04-13,0.03410780372870237,0.013339776601138054,0.020768027127564315,ETF_长持_有色金属,1.0871195849214115,8
2016-04-14,-0.002749269944117505,0.004430328960740582,-0.007179598904858087,ETF_长持_有色金属,1.0841307997209255,9
2016-04-15,-0.0027146956084318496,-0.0011071385496222996,-0.00160755705880955,ETF_长持_有色金属,1.0811877145999573,10
2016-04-18,0.0,-0.013370860318574707,0.013370860318574707,ETF_长持_有色金属,1.0811877145999573,11
2016-04-19,0.0,0.0030509348269609493,-0.0030509348269609493,ETF_长持_有色金属,1.0811877145999573,12
2016-04-20,-0.027265938710813842,-0.01768719658682949,-0.009578742123984352,ETF_长持_有色金属,1.05170811663879,13
2016-04-21,0.013673272518170743,-0.00642028623214197,0.020093558750312712,ETF_长持_有色金属,1.0660884083271642,14
2016-04-22,-0.01701250860913517,0.004523788227392966,-0.021536296836528135,ETF_长持_有色金属,1.0479515701023991,15
2016-04-25,-0.0050470104603360655,-0.004053071005799991,-0.0009939394545360747,ETF_长持_有色金属,1.0426625475661668,16
2016-04-26,0.001598340297460643,0.005416578340055933,-0.00381823804259529,ETF_长持_有色金属,1.0443290771325948,17
2016-04-27,-0.0018058387814815502,-0.004166162733841294,0.002360323952359744,ETF_长持_有色金属,1.04244318718448,18
2016-04-28,-0.010509764494765816,-0.0016850417616944835,-0.008824722733071333,ETF_长持_有色金属,1.031487354787998,19
2016-04-29,-0.0017370369001546981,-0.0012136376575584418,-0.0005233992425962564,ETF_长持_电气设备,1.0296956231906882,0
2016-05-02,0.0,0.0,0.0,ETF_长持_电气设备,1.0296956231906882,1
