trade_date,portfolio_return,benchmark_return,excess_return,n_strategies,strategies,portfolio_nav,block_id
2020-02-27,0.004281877316813398,0.0029120195770446777,0.0013698577397687206,1,交易记录etf动量轮动,1.0042818773168134,0
2020-02-28,-0.05495333752283771,-0.0354544675396381,-0.019498869983199607,1,交易记录etf动量轮动,0.9490932363445534,0
2020-03-02,0.029575687148035046,0.03289740979857925,-0.003321722650544201,1,交易记录etf动量轮动,0.9771633209769961,0
2020-03-03,0.018501551554147788,0.0053309777593060215,0.013170573794841767,1,交易记录etf动量轮动,0.9952423585368743,0
2020-03-04,-0.0019121539280622102,0.005790468527408166,-0.007702622455470376,1,交易记录etf动量轮动,0.9933393019516241,0
2020-03-05,0.015805492440970514,0.02227740769473563,-0.006471915253765115,1,交易记录etf动量轮动,1.0090395187799395,0
2020-03-06,-0.0047150199517244085,-0.016216391225563953,0.011501371273839545,1,交易记录etf动量轮动,1.0042818773168136,0
2020-03-09,-0.046426095493431796,-0.034160795950771816,-0.01226529954265998,1,交易记录etf动量轮动,0.9576569909781802,0
2020-03-10,0.02484000799840791,0.021415101951211213,0.0034249060471966963,1,交易记录etf动量轮动,0.9814451982938095,0
2020-03-11,-0.018905591202083905,-0.01330055625749571,-0.005605034944588194,1,交易记录etf动量轮动,0.9628903965876185,0
2020-03-12,-0.026187300074783426,-0.019242687887578214,-0.0069446121872052125,1,交易记录etf动量轮动,0.9376748968330514,0
2020-03-13,-0.009640354893225456,-0.014072273101766286,0.00443191820854083,1,交易记录etf动量轮动,0.9286353780531122,0
2020-03-16,-0.06147913261414095,-0.04299346640403301,-0.018485666210107943,1,交易记录etf动量轮动,0.871543680495602,0
2020-03-17,0.005458867489487762,-0.004870810167325379,0.010329677656813141,1,交易记录etf动量轮动,0.876301321958728,0
2020-03-18,-0.013030152101082715,-0.019792989275469575,0.00676283717438686,1,交易记录etf动量轮动,0.864882982447226,0
2020-03-19,0.003850635394356816,-0.012970454642019846,0.016821090036376662,1,交易记录etf动量轮动,0.8682133314714141,0
2020-03-20,0.012055575328632884,0.017868388238297284,-0.0058128129096644,1,交易记录etf动量轮动,0.878680142690291,0
2020-03-23,-0.04656497238871149,-0.03364647318769587,-0.01291849920101562,1,交易记录etf动量轮动,0.8377644261074085,0
2020-03-24,0.025350250250296025,0.026855690518368114,-0.001505440268072089,1,交易记录etf动量轮动,0.8590019639600269,0
2020-03-25,-0.00020000273754694486,0.026869081600896072,-0.027069084338443017,1,交易记录etf动量轮动,0.8588301612156767,0
2020-03-26,-0.004258262263998502,-0.006573749097418702,0.0023154868334201995,1,交易记录军工,0.8551730371489882,1
2020-03-27,-0.011694241170319253,0.0032485523711001107,-0.014942793541419364,1,交易记录军工,0.8451724374102135,1
2020-03-30,-0.032130789789820535,-0.00968978807757992,-0.022441001712240616,1,交易记录军工,0.8180163794876357,1
2020-03-31,0.0008760635410114403,0.003278153723616617,-0.0024020901826051766,1,交易记录军工,0.818733013813655,1
2020-04-01,-0.00398292269178635,-0.0030056521495799293,-0.000977270542206421,1,交易记录军工,0.815472063514422,1
2020-04-02,0.021571908971850684,0.01617784318897586,0.005394065782874824,1,交易记录军工,0.8330633526376424,1
2020-04-03,-0.013207253857135726,-0.005706821628399528,-0.007500432228736198,1,交易记录军工,0.8220608734602805,1
2020-04-06,0.0,0.0,0.0,1,交易记录军工,0.8220608734602805,1
2020-04-07,0.029541086728342547,0.022838167096181694,0.006702919632160853,1,交易记录军工,0.8463454450191477,1
2020-04-08,0.009703873257319806,-0.0046542391783258585,0.014358112435645665,1,交易记录军工,0.8545582739495234,1
2020-04-09,0.002351657200492463,0.003297583064189036,-0.0009459258636965728,1,交易记录军工,0.8565679020676973,1
2020-04-10,-0.026713378944961508,-0.006230814853523614,-0.020482564091437894,1,交易记录军工,0.8336860791076722,1
2020-04-13,-0.012850387204814573,-0.004224156873240847,-0.008626230331573725,1,交易记录军工,0.822972890183875,1
2020-04-14,0.012900631564343623,0.019301238289969103,-0.0064006067256254795,1,交易记录军工,0.8335897602275801,1
2020-04-15,-0.004630110715505897,-0.0074069599462226465,0.002776849230716749,1,交易记录军工,0.8297301473464144,1
2020-04-16,-0.0008205462439815348,0.0013215225737086556,-0.0021420688176901903,1,交易记录军工,0.829049315390491,1
2020-04-17,0.006935770044445011,0.009758754817968507,-0.002822984773523496,1,交易记录军工,0.8347994107975439,1
2020-04-20,0.007326761410310301,0.0036379859174420215,0.003688775492868279,1,交易记录军工,0.8409157869059252,1
2020-04-21,-0.006668990952712672,-0.011783632823436863,0.00511464187072419,1,交易记录军工,0.8353077271310563,1
2020-04-22,0.00541598121907616,0.008228889167713582,-0.002812907948637422,1,交易记录军工,0.8398317380933473,1
2020-04-23,0.017693415545032787,-0.0025084496640789267,0.020201865209111713,1,交易记录etf动量轮动,0.85469123002334,2
2020-04-24,0.008024216001870865,-0.00855940429570845,0.016583620297579316,1,交易记录etf动量轮动,0.861549457067952,2
2020-04-27,-0.007628198733266478,0.006794071518197331,-0.014422270251463809,1,交易记录etf动量轮动,0.8549773865908998,2
2020-04-28,3.999617294627039,0.006900103040492267,3.9927171915865465,1,交易记录etf动量轮动,4.274559728514891,2
2020-04-29,0.018053073474040282,0.004646614515711578,0.013406458958328704,1,交易记录etf动量轮动,4.351728669362944,2
2020-04-30,0.0040302135036034414,0.01177781823372559,-0.0077476047301221485,1,交易记录etf动量轮动,4.369267065010229,2
2020-05-01,0.0,0.0,0.0,1,交易记录etf动量轮动,4.369267065010229,2
2020-05-04,0.0,0.0,0.0,1,交易记录etf动量轮动,4.369267065010229,2
2020-05-05,0.0,0.0,0.0,1,交易记录etf动量轮动,4.369267065010229,2
2020-05-06,0.002943626459535942,0.006051433311015542,-0.0031078068514796,1,交易记录etf动量轮动,4.382128555151572,2
2020-05-07,0.004269071933496349,-0.00288581486067252,0.007154886794168869,1,交易记录etf动量轮动,4.400836177175342,2
2020-05-08,0.006642069423930197,0.009867042034708451,-0.003224972610778254,1,交易记录etf动量轮动,4.430066836587484,2
2020-05-11,-0.016627573451090116,-0.0008682463313792743,-0.015759327119710842,1,交易记录etf动量轮动,4.356405574868887,2
2020-05-12,-0.018787471677601864,1.451954094111585e-05,-0.01880199121854298,1,交易记录etf动量轮动,4.274559728514891,2
2020-05-13,-0.003282376995280223,0.002023893615681338,-0.005306270610961561,1,交易记录etf动量轮动,4.260529011997063,2
2020-05-14,-0.015917067961562892,-0.01084487331943984,-0.005072194642123051,1,交易记录etf动量轮动,4.192713882160895,2
2020-05-15,0.0066929043632217855,-0.0031595190248938643,0.00985242338811565,1,交易记录etf动量轮动,4.22077531519655,2
2020-05-18,0.011357695649733879,0.0025801878386355614,0.008777507811098317,1,交易记录etf动量轮动,4.2687135966324625,2
2020-05-19,0.026568884501546597,0.00849822849696058,0.018070656004586017,1,交易记录etf动量轮动,4.382128555151572,2
2020-05-20,-0.007204058887775089,-0.0053150085706170636,-0.0018890503171580253,1,交易记录etf动量轮动,4.350559442986459,2
2020-05-21,-0.00026875310906759875,-0.0054449532961546865,0.005176200187087088,1,交易记录etf动量轮动,4.349390216609972,3
2020-05-22,-0.033334344233023505,-0.022926827361341773,-0.010407516871681732,1,交易记录etf动量轮动,4.204406145925751,3
2020-05-25,0.032537172028774375,0.001375630742581846,0.03116154128619253,1,交易记录etf动量轮动,4.3412056319745735,3
2020-05-26,0.022623903116085087,0.011345499708891316,0.011278403407193771,1,交易记录etf动量轮动,4.439420647599369,3
2020-05-27,-0.8013803716715383,-0.007012190060029733,-0.7943681816115086,1,交易记录etf动量轮动,0.8817560790198854,3
2020-05-28,-0.00019992021750092626,0.0028653165483218945,-0.003065236765822821,1,交易记录etf动量轮动,0.881579798152785,3
2020-05-29,0.00025884276582988086,0.002694267672490591,-0.0024354249066607103,1,交易记录etf动量轮动,0.8818079887060386,3
2020-06-01,0.008022049291306121,0.026976047105173873,-0.01895399781386775,1,交易记录etf动量轮动,0.8888818958569059,3
2020-06-02,-0.0017970147442777362,0.0030789354183256012,-0.0048759501626033375,1,交易记录etf动量轮动,0.8872845619841295,3
2020-06-03,-0.009001249098736452,2.008250041796167e-05,-0.009021331599154414,1,交易记录etf动量轮动,0.8792978926202472,3
2020-06-04,-0.008563978511235915,-0.0003671509405813733,-0.008196827570654541,1,交易记录etf动量轮动,0.8717676043628724,3
2020-06-05,-0.0007852685237844659,0.004787773426202513,-0.005573041949986979,1,交易记录etf动量轮动,0.8710830327031113,3
2020-06-08,-0.008906704090599682,0.005174381841438702,-0.014081085932038384,1,交易记录etf动量轮动,0.8633245538924825,3
2020-06-09,-0.00026431607003984947,0.0062343811960696716,-0.006498697266109521,1,交易记录etf动量轮动,0.8630963633392288,3
2020-06-10,0.010109034581310405,-0.001809771923321657,0.011918806504632062,1,交易记录etf动量轮动,0.8718214343232283,3
2020-06-11,0.13524737393395259,-0.01084745022600786,0.14609482415996045,1,交易记录etf动量轮动,0.9897329938547769,3
2020-06-12,-0.11870100123495275,0.0018014283996088398,-0.12050242963456159,1,交易记录etf动量轮动,0.8722506965289475,3
2020-06-15,3.999587092807811,-0.012014390209106107,4.011601483016918,1,交易记录etf动量轮动,4.360893324058749,3
2020-06-16,-0.7923703829852897,0.015065000318711386,-0.8074353833040011,1,交易记录etf动量轮动,0.9054506107163248,3
2020-06-17,-0.00019995274383111106,0.0007532313172651239,-0.000953184061096235,1,交易记录etf动量轮动,0.9052695633823086,3
2020-06-18,0.008409466810599397,0.00666819477856162,0.0017412720320377773,1,交易记录房地产,0.912882397730218,4
2020-06-19,0.002144047366772206,0.013432279752255027,-0.011288232385482821,1,交易记录房地产,0.9148396608312441,4
2020-06-22,-0.013856841142530385,0.0008140123128999033,-0.014670853455430288,1,交易记录房地产,0.9021628729802192,4
2020-06-23,-0.009803772131840138,0.004814304978888684,-0.014618077110728822,1,交易记录房地产,0.8933182737477149,4
2020-06-24,-0.0007741881599658829,0.004171751021836423,-0.004945939181802306,1,交易记录房地产,0.8926266773170982,4
2020-06-25,0.0,0.0,0.0,1,交易记录房地产,0.8926266773170982,4
2020-06-26,0.0,0.0,0.0,1,交易记录房地产,0.8926266773170982,4
2020-06-29,0.18770374573239001,-0.007072523377988582,0.1947762691103786,1,交易记录房地产,1.060176048190175,4
2020-06-30,0.020007970123320007,0.013199767263746054,0.006808202859573953,1,交易记录房地产,1.0813880188878235,4
2020-07-01,0.015909207371324063,0.020129810449596164,-0.0042206030782721005,1,交易记录房地产,1.0985920451291753,4
2020-07-02,0.006522285325955446,0.02073104714494045,-0.014208761818985005,1,交易记录房地产,1.1057573759043327,4
2020-07-03,0.002656461047951808,0.019315960247190622,-0.016659499199238814,1,交易记录房地产,1.108694777301908,4
2020-07-06,-0.10027286119695389,0.056679259448064734,-0.15695212064501862,1,交易记录房地产,0.9975227797877261,4
2020-07-07,-0.0103543941927432,0.006002340552008878,-0.016356734744752077,1,交易记录房地产,0.987194035709563,4
2020-07-08,0.012005810298726383,0.016150651033995267,-0.004144840735268884,1,交易记录房地产,0.9990461000303261,4
2020-07-09,0.02098714410288882,0.013985534407363831,0.007001609695524991,1,交易记录房地产,1.0200132244970916,4
2020-07-10,0.025188921861263314,-0.018104119442786226,0.04329304130404954,1,交易记录房地产,1.045706257906404,4
2020-07-13,0.21643019370962113,0.02100254583644845,0.19542764787317268,1,交易记录房地产,1.27202866586845,4
2020-07-14,0.03098176716243195,-0.009534590962730127,0.04051635812516208,1,交易记录房地产,1.3114383618183254,4
2020-07-15,-0.015053232497289293,-0.012944770187186094,-0.0021084623101031985,1,交易记录房地产,1.29169697525201,4
2020-07-16,-0.01006568973571309,-0.04810138172057077,0.03803569198485768,1,交易记录桥水全天候,1.278695154266564,5
2020-07-17,-0.0036713891390929287,0.0062989161015154504,-0.00997030524060838,1,交易记录桥水全天候,1.2740005667649792,5
2020-07-20,0.01232371908544927,0.029837806480853546,-0.017514087395404276,1,交易记录桥水全天候,1.289700991864494,5
2020-07-21,-0.0026830238716684107,0.002294273753037146,-0.004977297624705557,1,交易记录桥水全天候,1.286240693316007,5
2020-07-22,0.004648253400411528,0.004988848427615045,-0.0003405950272035163,1,交易记录桥水全天候,1.2922194659924608,5
2020-07-23,-0.0029253145428246308,-0.0004262855605453586,-0.002499028982279272,1,交易记录桥水全天候,1.288439317596072,5
2020-07-24,-0.011734419109697192,-0.04389345832347369,0.0321590392137765,1,交易记录桥水全天候,1.2733202306459874,5
2020-07-27,0.020685225806046592,0.005073563496869715,0.015611662309176877,1,交易记录桥水全天候,1.299659147140307,5
