trade_date,portfolio_return,benchmark_return,excess_return,selected_strategy,portfolio_nav,days_held
2016-04-01,-0.014706342263678396,0.001182969551577484,-0.01588931181525588,ETF_长持_创业板,0.9852936577363216,0
2016-04-04,0.0,0.0,0.0,ETF_长持_创业板,0.9852936577363216,1
2016-04-05,0.03362294473169802,0.013219239808823113,0.02040370492287491,ETF_长持_创业板,1.0184221319348825,2
2016-04-06,0.00768626728434052,-0.002131484229461189,0.009817751513801709,ETF_长持_创业板,1.026249996649222,3
2016-04-07,-0.021051866292329913,-0.014807978910140296,-0.006243887382189617,ETF_长持_创业板,1.0046455189372585,4
2016-04-08,-0.008338210259867584,-0.007342558176882785,-0.0009956520829847992,ETF_长持_创业板,0.9962685733637259,5
2016-04-11,0.023861244323823083,0.01392772096079331,0.009933523363029773,ETF_长持_创业板,1.0200407812049044,6
2016-04-12,-0.008377486648886712,-0.003605465930931917,-0.004772020717954795,ETF_长持_创业板,1.0114954031790404,7
2016-04-13,0.013250348054077099,0.013339776601138054,-8.94285470609546e-05,ETF_长持_创业板,1.0248980693262617,8
2016-04-14,0.01324272073199162,0.004430328960740582,0.008812391771251038,ETF_长持_创业板,1.0384705082371068,9
2016-04-15,-0.006331972978763312,-0.0011071385496222996,-0.005224834429141012,ETF_长持_创业板,1.031894941039707,10
2016-04-18,-0.019086226812765172,-0.013370860318574707,-0.005715366494190466,ETF_长持_创业板,1.0121999601480782,11
2016-04-19,0.0030574776669951564,0.0030509348269609493,6.542840034207131e-06,ETF_长持_创业板,1.0152947389207643,12
2016-04-20,-0.05600874799781763,-0.01768719658682949,-0.03832155141098814,ETF_长持_创业板,0.9584293517450412,13
2016-04-21,-0.01635109188300199,-0.00642028623214197,-0.00993080565086002,ETF_长持_创业板,0.942757985351292,14
2016-04-22,0.012682438599500578,0.004523788227392966,0.008158650372107612,ETF_长持_创业板,0.9547144556146986,15
2016-04-25,-0.004721740220990478,-0.004053071005799991,-0.0006686692151904872,ETF_长持_创业板,0.9502065419700616,16
2016-04-26,0.013570875771216517,0.005416578340055933,0.008154297431160584,ETF_长持_创业板,0.9631016769081345,17
2016-04-27,-0.004214878064959793,-0.004166162733841294,-4.871533111849846e-05,ETF_长持_创业板,0.9590423207758084,18
2016-04-28,0.004014700381205438,-0.0016850417616944835,0.005699742142899922,ETF_长持_创业板,0.9628925883466192,19
2016-04-29,0.0072985154860854,-0.0012136376575584418,0.008512153143643841,ETF_长持_有色金属,0.9699202748141038,0
