trade_date,excess_return
2020-01-22,0.003779689797394181
2020-01-23,0.00026821376668817454
2020-01-24,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-03,-0.006193748775590924
2020-02-04,0.12917021601205508
2020-02-05,0.006291476667550588
2020-02-06,-0.1371141172420981
2020-02-07,-0.0022930892378725254
2020-02-10,0.025453905078463124
2020-02-11,-0.013783849548836546
2020-02-12,0.004226591268426172
2020-02-13,-0.001687901316206053
2020-02-14,0.005053192213373192
2020-02-17,0.006554171114579899
2020-02-18,0.017037198750329607
2020-02-19,0.0063975155810737094
2020-02-20,-0.002642614448900571
2020-02-21,0.007261279966052303
2020-02-24,0.005593802685628091
2020-02-25,-0.0022787644451175426
2020-02-26,0.003918107501229173
2020-02-27,-0.008554080023780275
2020-02-28,-0.014470874368499143
2020-03-02,0.09887485428216092
2020-03-03,-0.07374369062760383
2020-03-04,0.002283833474295024
2020-03-05,-0.010209249294600284
2020-03-06,0.011782750130759762
2020-03-09,0.02809850891276396
2020-03-10,-0.007987961190338067
2020-03-11,0.013312178519385376
2020-03-12,0.0022285439825064923
2020-03-13,0.007304953928412239
2020-03-16,0.035667256731757635
2020-03-17,0.008558851217569496
2020-03-18,0.0012455523902625831
2020-03-19,0.005706391381899878
2020-03-20,-0.009404912556630821
2020-03-23,0.0005355023570813647
2020-03-24,-0.00957533306536303
2020-03-25,-0.01255082164911873
2020-03-26,0.002168034823712861
2020-03-27,-0.004023250195130538
2020-03-30,0.10273061206139027
2020-03-31,-0.004207301624419957
2020-04-01,-0.002007084703911495
2020-04-02,-0.008023438553946974
2020-04-03,0.005138222241477308
2020-04-06,0.0
2020-04-07,0.00012419436421799365
2020-04-08,0.07098907897838769
2020-04-09,-0.05085194597597653
2020-04-10,-0.00998560964370106
2020-04-13,0.006026444466250743
2020-04-14,-0.007286358092644477
2020-04-15,-0.0021955768635045416
2020-04-16,0.005142459458670053
2020-04-17,-0.012595974364736917
2020-04-20,-0.0006961426309797978
2020-04-21,0.007682405156036094
2020-04-22,0.002159146038982632
2020-04-23,0.001854036320882694
2020-04-24,0.004282953388813386
2020-04-27,-0.005625580253174982
2020-04-28,-0.035250334231381755
2020-04-29,-0.0069616382523482265
2020-04-30,-9.01692241132325e-06
2020-05-01,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,-0.0036927176545448193
2020-05-07,-0.0035518992743297133
2020-05-08,-0.006547397020105872
2020-05-11,0.0017418224664022728
2020-05-12,-0.006121172085827298
2020-05-13,-0.0005265971106699352
2020-05-14,0.008682177487591739
2020-05-15,0.007101166723420353
2020-05-18,0.0005321115571230717
2020-05-19,-0.005548332070574849
2020-05-20,0.00038060387046386524
2020-05-21,0.004227176158998776
2020-05-22,0.010471222590357562
2020-05-25,0.0010779098860181544
2020-05-26,0.001136386585362711
2020-05-27,0.004503520951797216
2020-05-28,-0.006136242925758872
2020-05-29,-0.0028773100786410413
2020-06-01,-0.01703700617583056
2020-06-02,0.0026951417693289086
2020-06-03,-0.00335839743694033
2020-06-04,-0.0005894940633225006
2020-06-05,-0.00849334357183514
2020-06-08,-0.03773320260507854
2020-06-09,-6.131508481329196e-05
2020-06-10,-0.0003429147875120644
2020-06-11,0.010560555546483422
2020-06-12,-0.0013648510154734932
2020-06-15,0.026753376551777563
2020-06-16,-0.0033246273024530506
2020-06-17,0.003272110861078777
2020-06-18,-0.004751092259850487
2020-06-19,-0.010318470842374953
2020-06-22,-0.021558821524832277
2020-06-23,-0.004685898784566341
2020-06-24,-0.009879675503222829
2020-06-25,0.0
2020-06-26,0.0
2020-06-29,0.008198666959123246
2020-06-30,-0.00195992766151476
2020-07-01,-0.00215531823375148
2020-07-02,-0.009683108974071097
2020-07-03,-0.009266462524727181
2020-07-06,-0.03508092394191131
2020-07-07,0.0017722829353765124
2020-07-08,0.012429429736990238
2020-07-09,-0.0014094247969340667
2020-07-10,0.00926934833183074
2020-07-13,0.0018790656087074309
2020-07-14,0.013461551393342708
2020-07-15,-0.012804266507214501
2020-07-16,0.02139361119626737
2020-07-17,0.0035277006533527833
2020-07-20,0.03751762636833966
2020-07-21,0.0003773519340104503
2020-07-22,-0.002261667936301448
2020-07-23,0.0037906906076918268
2020-07-24,0.020937168918546134
2020-07-27,-0.020677779628487825
2020-07-28,0.010894004811479174
2020-07-29,-0.005744091783587146
2020-07-30,0.00010984323669804841
2020-07-31,-0.004814097466382727
2020-08-03,-0.0018704764182662093
2020-08-04,-0.006158028038428631
2020-08-05,0.014606619675351706
2020-08-06,0.006465951186772512
2020-08-07,0.014096772762386411
2020-08-10,0.02689269823845608
2020-08-11,-0.00035988391240276973
2020-08-12,-0.008304586736518516
2020-08-13,0.008384192576251448
2020-08-14,0.0019700208094318716
2020-08-17,0.042781631321204605
2020-08-18,0.00024131290500434277
2020-08-19,2.8093999509537504e-05
2020-08-20,-0.012102265553739722
2020-08-21,-0.004028636114360329
2020-08-24,-0.01578447965282992
2020-08-25,-0.006432404701077643
2020-08-26,-0.01246349937545882
2020-08-27,0.005157530316234893
2020-08-28,-0.008568540213023113
2020-08-31,0.02194208214746718
2020-09-01,0.002673808125305599
2020-09-02,0.005174555783473145
2020-09-03,-0.0032529797653686465
2020-09-04,0.0065249969694879395
2020-09-07,0.06296451759141608
2020-09-08,-0.0012801589498925847
2020-09-09,0.0017843981834252953
2020-09-10,-0.036401539267073346
2020-09-11,0.00011171043122804036
2020-09-14,-0.025105466072726845
2020-09-15,-0.003025463858299715
2020-09-16,0.0030721279626549913
2020-09-17,0.01149539035866387
2020-09-18,-0.00848125673962108
2020-09-21,0.010925494496716037
2020-09-22,-0.005028509827940564
2020-09-23,0.0029032312664993842
2020-09-24,-0.006198679408890462
2020-09-25,-0.00709828859695022
2020-09-28,-0.007658203663181651
2020-09-29,0.027638057838749286
2020-09-30,-0.006288167786864363
2020-10-01,0.0
2020-10-02,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,-0.002314737362416386
2020-10-12,-0.03407055400535619
2020-10-13,-0.0056244804701088835
2020-10-14,0.0018999280968156618
2020-10-15,-0.007517559224314352
2020-10-16,-0.0020932753856655606
2020-10-19,0.018084971825333418
2020-10-20,0.001586031231314733
2020-10-21,-0.01034364824606776
2020-10-22,0.0009715313835580441
2020-10-23,0.001534632024752125
2020-10-26,0.004075020392521056
2020-10-27,0.00030537152809240187
2020-10-28,-0.006677662002392504
2020-10-29,-0.008305575859070213
2020-10-30,-0.007227707190828103
2020-11-02,0.0019899745863211082
2020-11-03,0.00757367922410912
2020-11-04,-0.006150564095855904
2020-11-05,-0.0025332673046728482
2020-11-06,-0.004905074462404513
2020-11-09,-0.019308033331231544
2020-11-10,0.0016957062413280322
2020-11-11,-0.0022197127079330303
2020-11-12,0.0029392769128309126
2020-11-13,0.013950634429029496
2020-11-16,-0.008187332300217676
2020-11-17,-0.002855738297890209
2020-11-18,0.0011174197885084336
2020-11-19,0.008850261565449602
2020-11-20,0.00055666600469928
2020-11-23,0.011089180458972558
2020-11-24,0.006219849893060236
2020-11-25,-0.003746134312037297
2020-11-26,0.0014032159101268205
2020-11-27,-0.003968746874243534
2020-11-30,-0.008693533353546279
2020-12-01,-0.014886872674344576
2020-12-02,-0.002293617119629776
2020-12-03,-0.012371246914446077
2020-12-04,0.00040608042309320247
2020-12-07,0.007816107428273877
2020-12-08,-0.00016584667561719835
2020-12-09,-0.0031484635228688496
2020-12-10,0.005021449096877295
2020-12-11,-0.007141189796313618
2020-12-14,0.0031633864551384727
2020-12-15,-0.003202668911068962
2020-12-16,-0.012026373746589214
2020-12-17,-0.00651628162436102
2020-12-18,0.006113241811335657
2020-12-21,0.007821470101705197
2020-12-22,-0.00611599958173259
2020-12-23,0.000656935982194351
2020-12-24,-0.0030529722679581983
2020-12-25,-0.00441118939484314
2020-12-28,0.011665177619808342
2020-12-29,-0.004924943957873462
2020-12-30,-0.004702092290366555
2020-12-31,0.00012188809189261907
2021-01-01,0.0
2021-01-04,-0.0034087602427472774
2021-01-05,-0.008750898454971623
2021-01-06,-0.012619946170827678
2021-01-07,-0.020520837776796086
2021-01-08,-0.006966250749194047
2021-01-11,-0.009218308052737323
2021-01-12,-0.014280835985829077
2021-01-13,-0.017883505094048013
2021-01-14,0.010596232261090022
2021-01-15,0.008925229114346345
2021-01-18,0.025145662130663493
2021-01-19,0.00537508087015226
2021-01-20,0.014838769270523633
2021-01-21,-0.020563410617050137
2021-01-22,-0.008508687172783747
2021-01-25,-0.001950456153774649
2021-01-26,-0.01998574483516924
2021-01-27,0.0025665031714894315
2021-01-28,0.007791457455718964
2021-01-29,-0.005477034287889482
2021-02-01,-0.028716874908259804
2021-02-02,-0.0027539838389309956
2021-02-03,-0.011520611441189618
2021-02-04,-0.009253397190299975
2021-02-05,-0.012597410843457594
2021-02-08,-0.02866305819222629
2021-02-09,-0.008333930993854377
2021-02-10,-0.019193651627612367
2021-02-11,0.0
2021-02-12,0.0
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,0.02464384529523907
2021-02-19,0.013934084144643071
2021-02-22,0.024743437856260875
2021-02-23,-0.003473094180062919
2021-02-24,0.025596838894977585
2021-02-25,0.000884483119451958
2021-02-26,0.012368238028783396
2021-03-01,0.011423443258530435
2021-03-02,0.014763237478579069
2021-03-03,0.011481062324325553
2021-03-04,0.02574351812235376
2021-03-05,0.0009459074927585798
2021-03-08,0.03454038765334533
2021-03-09,0.034898210823230635
2021-03-10,-0.027065257489173655
2021-03-11,0.0029717365885579827
2021-03-12,0.013235097662686934
2021-03-15,0.037302688407331974
2021-03-16,0.004918035316499925
2021-03-17,-0.017549963334906993
2021-03-18,-0.01128348529471035
2021-03-19,0.02727351980515924
2021-03-22,0.004562987733541579
2021-03-23,0.3519835635817862
2021-03-24,0.002508477685538746
2021-03-25,-0.004519764798576409
2021-03-26,-0.2804597961936254
2021-03-29,0.015889215087063757
2021-03-30,0.17834992421777862
2021-03-31,-0.13345282578970985
2021-04-01,-0.018386565594392335
2021-04-02,-0.014946060833672448
2021-04-05,0.0
2021-04-06,-0.00300698359008289
2021-04-07,0.023449219149675127
2021-04-08,-0.022073353291495734
2021-04-09,0.00767873190705104
2021-04-12,0.01357487694489612
2021-04-13,-0.01208219312646186
2021-04-14,-0.002501428838999953
2021-04-15,0.007850533030594908
2021-04-16,0.012922996217924698
2021-04-19,-0.016382860323218562
2021-04-20,-0.009897751333298177
2021-04-21,-0.014989873781335317
2021-04-22,-3.599080581495606e-05
2021-04-23,-0.014557344731452204
2021-04-26,0.0006598381948277332
2021-04-27,-0.01337980587653631
2021-04-28,0.00225453114356311
2021-04-29,-0.011917661373416433
