trade_date,excess_return,portfolio_return,benchmark_return
2020-03-09,0.14264183228121557,0.10848103633044377,-0.034160795950771816
2020-03-10,0.007911990743349362,0.029327092694560575,0.021415101951211213
2020-03-11,0.002194379355525541,-0.01110617690197017,-0.01330055625749571
2020-03-12,0.0013922491050309231,-0.01785043878254729,-0.019242687887578214
2020-03-13,0.020025609179391262,0.005953336077624975,-0.014072273101766286
2020-03-16,-0.212263844238537,-0.25525731064257,-0.04299346640403301
2020-03-17,0.0032976224193703345,-0.0015731877479550442,-0.004870810167325379
2020-03-18,0.007842309267247938,-0.011950680008221637,-0.019792989275469575
2020-03-19,0.02734368537566112,0.014373230733641273,-0.012970454642019846
2020-03-20,0.0015807896059913222,0.019449177844288606,0.017868388238297284
2020-03-23,0.13580538036383394,0.10215890717613807,-0.03364647318769587
2020-03-24,-0.0036990120858292723,0.02315667843253884,0.026855690518368114
2020-03-25,-0.017963294653036622,0.008905786947859448,0.026869081600896072
2020-03-26,0.0008223124849090491,-0.005751436612509653,-0.006573749097418702
2020-03-27,-0.009255848301245706,-0.006007295930145595,0.0032485523711001107
2020-03-30,-0.042855106454684565,-0.052544894532264484,-0.00968978807757992
2020-03-31,-0.0053257925459718,-0.0020476388223551836,0.003278153723616617
2020-04-01,-0.0025484515037030126,-0.005554103653282942,-0.0030056521495799293
2020-04-02,0.006575626560518355,0.022753469749494215,0.01617784318897586
2020-04-03,0.006059080106385302,0.00035225847798577475,-0.005706821628399528
2020-04-06,0.0,0.0,0.0
2020-04-07,0.08284091195005001,0.10567907904623171,0.022838167096181694
2020-04-08,0.00728858478871793,0.0026343456103920713,-0.0046542391783258585
2020-04-09,-0.004327251237088843,-0.0010296681728998076,0.003297583064189036
2020-04-10,-0.014968251318354182,-0.021199066171877796,-0.006230814853523614
2020-04-13,0.09562763736469475,0.0914034804914539,-0.004224156873240847
2020-04-14,-0.007567612073853258,0.011733626216115844,0.019301238289969103
2020-04-15,-0.0008724766543960847,-0.008279436600618731,-0.0074069599462226465
2020-04-16,0.004150804112834712,0.005472326686543368,0.0013215225737086556
2020-04-17,-0.005048722346873998,0.004710032471094509,0.009758754817968507
2020-04-20,-0.11849762274888787,-0.11485963683144584,0.0036379859174420215
2020-04-21,0.014832109678419672,0.0030484768549828103,-0.011783632823436863
2020-04-22,-0.0037831435410923264,0.004445745626621256,0.008228889167713582
2020-04-23,0.0024452306755374797,-6.321898854144692e-05,-0.0025084496640789267
2020-04-24,0.0006254331996011775,-0.007933971096107273,-0.00855940429570845
2020-04-27,0.014551225208804142,0.021345296727001473,0.006794071518197331
2020-04-28,1.32011858009881,1.3270186831393023,0.006900103040492267
2020-04-29,0.0031383818551883698,0.007784996370899948,0.004646614515711578
2020-04-30,0.0063536854238584635,0.018131503657584053,0.01177781823372559
2020-05-01,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0
2020-05-05,0.0,0.0,0.0
2020-05-06,0.0878342178438876,0.09388565115490315,0.006051433311015542
2020-05-07,0.002825261690424482,-6.0553170248038114e-05,-0.00288581486067252
2020-05-08,-0.0033217521037314235,0.006545289930977027,0.009867042034708451
2020-05-11,0.1870622014504183,0.18619395511903902,-0.0008682463313792743
2020-05-12,-0.006580969152914433,-0.006566449611973317,1.451954094111585e-05
2020-05-13,0.005212493230047947,0.007236386845729285,0.002023893615681338
2020-05-14,-0.00042112146341910517,-0.011265994782858946,-0.01084487331943984
2020-05-15,0.01651002964578977,0.013350510620895909,-0.0031595190248938643
2020-05-18,-0.14655099155427828,-0.14397080371564272,0.0025801878386355614
2020-05-19,0.007095225635002089,0.01559345413196267,0.00849822849696058
2020-05-20,-0.002703590791868068,-0.008018599362485132,-0.0053150085706170636
2020-05-21,-0.005352324706505374,-0.01079727800266006,-0.0054449532961546865
2020-05-22,0.0035297354934463003,-0.019397091867895472,-0.022926827361341773
2020-05-25,0.05043490299174865,0.0518105337343305,0.001375630742581846
2020-05-26,0.015605268572804754,0.02695076828169607,0.011345499708891316
2020-05-27,-0.2640083201369205,-0.2710205101969502,-0.007012190060029733
2020-05-28,-0.006271932543942427,-0.003406615995620532,0.0028653165483218945
2020-05-29,0.015163059645780425,0.017857327318271016,0.002694267672490591
2020-06-01,-0.030106240492646468,-0.0031301933874725942,0.026976047105173873
2020-06-02,-0.14614142224179708,-0.14306248682347147,0.0030789354183256012
2020-06-03,-0.06604912277043251,-0.06602904027001455,2.008250041796167e-05
2020-06-04,0.001932078256745869,0.0015649273161644957,-0.0003671509405813733
2020-06-05,-0.0009507395580623523,0.0038370338681401606,0.004787773426202513
2020-06-08,0.45325393012855053,0.45842831196998923,0.005174381841438702
2020-06-09,-0.13523520421143967,-0.12900082301537,0.0062343811960696716
2020-06-10,0.00379606309660252,0.001986291173280863,-0.001809771923321657
2020-06-11,0.053859169050451516,0.04301171882444366,-0.01084745022600786
2020-06-12,-0.1143019677683756,-0.11250053936876676,0.0018014283996088398
2020-06-15,1.7196305183172307,1.7076161281081246,-0.012014390209106107
2020-06-16,-0.41783065333167163,-0.40276565301296025,0.015065000318711386
2020-06-17,-0.0011848093730738214,-0.0004315780558086975,0.0007532313172651239
2020-06-18,-0.004695553884100737,0.001972640894460883,0.00666819477856162
2020-06-19,-0.07066041401880777,-0.057228134266552745,0.013432279752255027
2020-06-22,0.28453720026736046,0.28535121258026036,0.0008140123128999033
