trade_date,portfolio_return,benchmark_return,excess_return,selected_strategy,portfolio_nav
2016-03-04,-0.012454795004676722,0.01159669959203491,-0.02405149459671163,ETF_长持_有色金属,0.9875452049953233
2016-03-07,0.03699338863882495,0.0035392989956493093,0.033454089643175644,ETF_长持_有色金属,1.0240778485621234
2016-03-08,-0.004138279832207936,0.0009124464622118911,-0.005050726294419827,ETF_长持_有色金属,1.0198399278548078
2016-03-09,-0.05791676500198639,-0.011508837465412647,-0.046407927536573745,ETF_长持_有色金属,0.9607740984135982
2016-03-10,-0.017371064714985507,-0.019128606432421313,0.0017575417174358066,ETF_长持_有色金属,0.9440844293735737
2016-03-11,0.002233165738332543,0.0017054269894747343,0.0005277387488578089,ETF_长持_有色金属,0.946192726375344
2016-03-14,0.028477038697088508,0.01570627340485209,0.012770765292236419,ETF_长持_有色金属,0.9731374932592384
2016-03-15,-0.020753889984659102,0.0029648134071202925,-0.023718703391779394,ETF_长持_有色金属,0.9529411047841893
2016-03-16,-0.00726067120445284,0.004960745804349687,-0.012221417008802526,ETF_长持_有色金属,0.9460221127451433
2016-03-17,0.030507874142539748,0.011058491029609874,0.019449383112929874,ETF_长持_有色金属,0.9748832362968316
2016-03-18,0.03370491557363997,0.015286806344489756,0.018418109229150215,ETF_长持_有色金属,1.0077415934703733
2016-03-21,0.0222210129153968,0.024424685912162403,-0.0022036729967656044,ETF_长持_有色金属,1.030134632434261
2016-03-22,0.0005146132415310145,-0.007277229422990472,0.007791842664521487,ETF_长持_有色金属,1.0306647533566715
2016-03-23,0.005134617431095112,0.00319366699069068,0.001940950440404432,ETF_长持_有色金属,1.035956822564872
2016-03-24,-0.027712342182578564,-0.016761480605436363,-0.010950861577142201,ETF_长持_有色金属,1.0072480326115776
2016-03-25,0.0022867098600751756,0.005017897288518203,-0.002731187428443027,ETF_长持_有色金属,1.0095513166192918
2016-03-28,0.0002203028711802446,-0.008783679891115614,0.009003982762295859,ETF_长持_有色金属,1.0097737236729467
2016-03-29,-0.004438275981715978,-0.010826953212362156,0.006388677230646178,ETF_长持_有色金属,1.0052920692082012
2016-03-30,0.032758119067534786,0.02579104651647124,0.006967072551063547,ETF_长持_有色金属,1.038223546508972
2016-03-31,-0.003271972838223891,0.0005635711594713655,-0.0038355439976952566,ETF_长持_有色金属,1.0348265072647902
2016-04-01,0.0077990213685532606,0.001182969551577484,0.0066160518169757765,ETF_长持_有色金属,1.0428971413076937
2016-04-04,0.0,0.0,0.0,ETF_长持_有色金属,1.0428971413076937
2016-04-05,0.016011942496063192,0.013219239808823113,0.0027927026872400784,ETF_长持_有色金属,1.0595959503636212
2016-04-06,-0.006682484824577339,-0.002131484229461189,-0.00455100059511615,ETF_长持_非银金融,1.0525152165051328
2016-04-07,-0.018824979847313794,-0.014807978910140296,-0.004017000937173498,ETF_长持_非银金融,1.0327016387654326
2016-04-08,-0.01503600425285112,-0.007342558176882785,-0.007693446075968335,ETF_长持_非银金融,1.0171739325330293
