strategy_key,source_type,rqdata_code,code_description,trading_days,start_date,end_date,total_return,annual_vol,max_drawdown,source_files
策略_综合拆分2,mapped,,,2503,2016-01-08,2026-04-30,0.4300807731355458,0.18639517642977402,0.0,
策略_行业etf增强,mapped,,,2503,2016-01-08,2026-04-30,0.4300807731355458,0.18639517642977402,0.0,
策略_计算机ETF优选策略,mapped,,,1467,2020-04-13,2026-04-30,0.12893081761006298,0.3060555835528269,0.0,
策略_通信etf增强,mapped,,,692,2023-06-21,2026-04-30,1.5263671875,0.321596455392201,0.0,
策略_锤子,mapped,,,2503,2016-01-08,2026-04-30,0.4300807731355458,0.18639517642977402,0.0,
策略_食品etf增强,mapped,,,1086,2021-11-08,2026-04-30,-0.4011976047904192,0.24148384537494436,0.0,
交易记录300,,,,320,2025-01-02,2026-04-30,0.5741408705617232,1.189417969331167,0.0,0.0
交易记录etf动量轮动,,,,1527,2020-01-09,2026-04-30,4.039794061900243,4.693605470296896,0.0,0.0
交易记录军工,,,,1532,2020-01-02,2026-04-30,0.8724790833160321,0.3492781316251001,0.0,0.0
交易记录双创,,,,1149,2021-08-02,2026-04-30,2.032773967797425,0.570912347503313,0.0,0.0
交易记录均衡持仓,,,,1530,2020-01-06,2026-04-30,1.0822046264586938,0.3944987502089869,0.0,0.0
交易记录房地产,,,,1530,2020-01-06,2026-04-30,4.601464138414342,0.9151364384404106,0.0,0.0
交易记录桥水全天候,,,,1530,2020-01-06,2026-04-30,0.4721497635768108,0.1418704880466915,0.0,0.0
交易记录煤炭,,,,318,2025-01-06,2026-04-30,0.1203293724276657,0.6193707038610551,0.0,0.0
交易记录科创,,,,1149,2021-08-02,2026-04-30,0.4766000726607113,1.0058142068520903,0.0,0.0
交易记录锤子策略,,,,1532,2020-01-02,2026-04-30,1.922086912829236,0.7653805705456194,0.0,0.0
交易记录食品,,,,318,2025-01-06,2026-04-30,79.1654625222713,3.918994115334216,0.0,0.0
